Tubelabel_species,Species,Year,Health_status,Starting_Weight,Date_Extracted,Raw_ng_ul,Date_Enriched,Microbe_ng_ul,Microbe_Location,Microbe_clean_date/n,Host_ng_ul,Host_Location,Host_clean_y/n,Date_Libprep,Status ,Notes ,Seq_date,Host_Seq_date,Status_notes,Ready_resequence,ToDo_Resequence,Notes_x,Sample_physical_location_y,Extraction_physical_location_y,Notes_y
052022_BEL_CBC_T3_50_MCAV,MCAV,2022,Diseased_Margin,56,6_14_2022,0,_,_,_,_,_,_,_,_,_,_,_,_,extracted dna - pink box ,n,check extracted dna,,Depleted_UML_NARWHAL_R1_B3,DNA_extracted,Only sand left in tissue sample
102019_BEL_CBC_T2_35_PSTR,PSTR,2019,Healthy,219.4,7_12_2024,19,,,,,,,,,,,,,coral tissue - B2,n,enrich,,UML_NARWHAL_R1_B2,UML_NARWHAL_R2_B26,
052022_BEL_CBC_T1_12_MCAV,MCAV,2022,Diseased_Margin,_,6_10_2022,6.2,7_6_2022,0.1,,,_,,,7_29_2022,sequenced,(Library Prep) Used 3µl of water to reach initial volume of  16µl,sequenced,,"DEPLETED, empty enriched tube - orange box, small amnt extracted dna - pink box ",n,check extracted dna,,Depleted_ UML_NARWHAL_R1_B3,DNA_extracted,Only sand in tissue sample 
062019_BEL_CBC_T3_7_PAST,PAST,2019,Healthy,_,6_17_2022,13.5,7_6_2022,2.3,,,_,,,7_20_2022,sequenced,Actual tag 052022_10_T3_7_PAST,sequenced,,"empty enriched tube - orange box, coral tissue - B1",n,extract,,UML_NARWHAL_R1_B1,DNA_extracted,
052022_BEL_CBC_T2_13_PSTR,PSTR,2022,Healthy,173,9_12_2023,26.6,10_6_2023,9.16,UML_NARWHAL_R2_B1,10_10_23,44.9,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B8,UML_NARWHAL_R2_B3,
052022_BEL_CBC_T2_14_PSTR,PSTR,2022,Healthy,71.6,9_12_2023,27.2,10_6_2023,7.04,UML_NARWHAL_R2_B1,10_10_23,40.7,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,Depleted_UML_NARWHAL_R1_B8,UML_NARWHAL_R2_B3,Only sand left in tissue sample
052022_BEL_CBC_T3_8_PAST,PAST,2022,Healthy,_,6_17_2022,15.4,7_14_2022,2.2,,,_,,,7_20_2022,,Actual tag 052022_10_T3_8_PAST,,,enriched - orange box,n,check enriched dna,"depleted, can't find extracted dna or sequence",Depleted_UML_NARWHAL_R1_B3,?,Only sand left in tissue sample
052022_BEL_CBC_T2_45_PSTR,PSTR,2022,Diseased_Margin,181,10_10_2023,22.8,10_17_2023,7.5,UML_NARWHAL_R2_B1,y,0.772,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B8,UML_NARWHAL_R2_B3,
052022_BEL_CBC_T2_46_PSTR,PSTR,2022,Diseased_Tissue,162,10_10_2023,63.9,10_17_2023,18.5,UML_NARWHAL_R2_B1,y,too low,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B8,UML_NARWHAL_R2_B3,
052022_BEL_CBC_T2_11_PAST,PAST,2022,Healthy,_,6_17_2022,141.7,7_14_2022,1.8,,,_,,,7_20_2022,sequenced,Actual tag 052022_57_T2_11_PAST,sequenced,,very little coral tissue - B1,n,extract,labeleld as 2019 in metagenomics tracker?,Depleted_UML_NARWHAL_R1_B8,DNA_extracted,Only sand left in tissue sample; labelled as 2019 in metagenomics tracker?
062019_BEL_CBC_T3_25_PAST,PAST,2019,Healthy,_,6_17_2022,14.9,7_14_2022,21.2,,,_,,,7_20_2022,sequenced,Actual tag 062022_34_T3_25_PAST,sequenced,,extracted dna - pink box ,n,check extracted dna,,UML_NARWHAL_R1_B1,,
052022_BEL_CBC_T2_59_OFAV,OFAV,2022,Healthy,174,10_3_2023,73.7,10_16_2023,11.7,UML_NARWHAL_R2_B1,,,,,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B8,UML_NARWHAL_R2_B3,
052022_BEL_CBC_T3_48_MCAV,MCAV,2022,Diseased_Margin,155,6_14_2022,38.3,7_6_2022,6.4,,,_,,,7_29_2022,sequenced,Duplicate seqs; (Library Prep) Used 3µl of water to reach initial volume of  16µl; ,sequenced,,"empty enriched tube & no date enriched tube - orange box, extracted dna - pink box ",n,enrich,"checked concentrations, using old extraction ",UML_NARWHAL_R1_B3,DNA_extracted,
052022_BEL_CBC_T1_52_PAST,PAST,2022,Diseased_Tissue,_,6_17_2022,8.1,7_14_2022,0.6,,,_,,,7_20_2022,sequenced,Duplicate seqs; Actual tag 052022_19_T1_52_PAST,sequenced,,enriched - orange box,n,check enriched dna,,,,was labelled as 2019 in metagenomics tracker?
052022_BEL_CBC_T2_7_PSTR,PSTR,2022,Healthy,288,9_12_2023,45.2,10_6_2023,15.5,UML_NARWHAL_R2_B1,10_10_23,52.7,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B8,UML_NARWHAL_R2_B3,
052022_BEL_CBC_T2_71_OFAV,OFAV,2022,Healthy,168,10_3_2023,98.8,10_16_2023,14,UML_NARWHAL_R2_B1,,,,,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B8,UML_NARWHAL_R2_B3,
052022_BEL_CBC_T2_72_OFAV,OFAV,2022,Healthy,75,10_3_2023,47.6,10_11_23,3.96,UML_NARWHAL_R2_B1,10_12_23,0.522,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,Depleted_UML_NARWHAL_R1_B8,UML_NARWHAL_R2_B3,
052022_BEL_CBC_T2_8_PSTR,PSTR,2022,Healthy,144,9_12_2023,13.2,10_6_2023,3.22,UML_NARWHAL_R2_B1,10_10_23,42,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B8,UML_NARWHAL_R2_B3,
062019_BEL_CBC_T3_8_MCAV,MCAV,2019,Healthy,_,5_18_2022,7.8,8_8_2022,-16.13,,,_,,,8_30_2022,sequenced,Duplicate seqs; Processed following protocol as written ,sequenced,,"(2x) T3-8 enriched tubes in orange box, 1 empty, extracted - pink box, extracted dna - orange box ",n,check extracted dna ,"since there are multiple tubes of enriched, just going to start from the extracted dna or redo extraction",UML_NARWHAL_R1_B1,DNA_extracted,
062019_BEL_CBC_T1_24_MCAV,MCAV,2019,Healthy,177,6_13_2022,7.1,7_1_2022,1.4,,,_,,,7_20_2022,sequenced,Duplicate seqs; Processed following protocol as written ,sequenced,,"enriched - orange box (small amnt left), extracted dna - orange box ",n,"check enriched dna, check extracted dna ",,Depleted_UML_NARWHAL_R1_B1,DNA_extracted,Only sand left in tissue sample
062019_BEL_CBC_T2_16_MCAV,MCAV,2019,Healthy,_,5_18_2022,6.1,8_8_2022,1.89,,,_,,,8_30_2022,sequenced,Duplicate seqs; Processed following protocol as written ,sequenced,,enriched - orange box,n,check enriched dna,,Depleted_UML_NARWHAL_R1_B1,DNA_extracted,Only sand left in tissue sample
052022_BEL_CBC_T2_10_MCAV,MCAV,2022,Healthy,_,6_15_2022,22.4,6_22_2022,0.3,,,0.5,,,6_27_2022,sequenced,Processed following protocol as written ,sequenced,,"DEPLETED, empty enriched tube - orange box, empty extracted - pink box ",n,extract_from_depleted,,Depleted_UML_NARWHAL_R1_B8,DNA_extracted,Only sand left in tissue sample
052022_BEL_CBC_T1_40_MCAV,MCAV,2022,Diseased_Margin,70,6_14_2022,18.4,7_6_2022,5.2,,,_,,,7_29_2022,sequenced,Processed following protocol as written ,sequenced,,DEPLETED,n,extract_from_depleted,,Depleted_UML_NARWHAL_R1_B3,DNA_extracted,Only sand left in tissue sample
122022_BEL_CBC_T3_121_OFAV,OFAV,2022,Healthy,158,6_22_2023,103.2,10_16_2023,39.9,UML_NARWHAL_R2_B1,,,,,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B3,
052022_BEL_CBC_T1_70_MCAV,MCAV,2022,Diseased_Tissue,117,6_14_2022,95,7_6_2022,5.6,,,_,,,7_29_2022,sequenced,Processed following protocol as written ,sequenced,,"DEPLETED, empty enriched tube - orange box ",n,extract_from_depleted,,Depleted_UML_NARWHAL_R1_B3,DNA_extracted,Only sand left in tissue sample
052022_BEL_CBC_T1_13_MCAV,MCAV,2022,Diseased_Tissue,133,6_14_2022,5.8,7_6_2022,1.7,,,_,,,7_29_2022,sequenced,Processed following protocol as written ,sequenced,,"DEPLETED, empty enriched tube - orange box, empty extracted - pink box,  ",n,extract_from_depleted,,Depleted_UML_NARWHAL_R1_B3,DNA_extracted,Only sand in tissue sample 
052022_BEL_CBC_T1_57_MCAV,MCAV,2022,Healthy,_,6_15_2022,75.5,6_22_2022,1.43,,,2.4,,,6_24_2022,sequenced,Processed following protocol as written ,sequenced,,enriched - orange box,n,check enriched dna,,Depleted_UML_NARWHAL_R1_B3,DNA_extracted,Only sand left in tissue sample
122022_BEL_CBC_T3_127_OFAV,OFAV,2022,Healthy,126,6_22_2023,36.3,10_11_23,8.02,UML_NARWHAL_R2_B1,10_12_23,1.1,UML_F1_R2_B2,n,,sequenced,,10_19_23,,,y,extract,,UML_NARWHAL_R1_B5,UML_NARWHAL_R2_B3,
052022_BEL_CBC_T3_13_MCAV,MCAV,2022,Healthy,_,6_15_2022,13.2,6_22_2022,1,,,0.5,,,6_27_2022,sequenced,Processed following protocol as written ,sequenced,,enriched - orange box,n,check enriched dna,,UML_NARWHAL_R1_B3,DNA_extracted,
052022_BEL_CBC_T3_19_MCAV,MCAV,2022,Healthy,_,6_15_2022,38.2,6_22_2022,6.3,,,0,,,6_27_2022,sequenced,Processed following protocol as written ,sequenced,,enriched - orange box,n,check enriched dna,,Depleted_UML_NARWHAL_R1_B3,DNA_extracted,Only sand left in tissue sample
052022_BEL_CBC_T3_60_MCAV,MCAV,2022,Diseased_Tissue,187,6_14_2022,4.4,8_8_2022,2.72,,,_,,,8_30_2022,sequenced,Processed following protocol as written ,sequenced,,enriched - orange box,n,check enriched dna,,UML_NARWHAL_R1_B3,DNA_extracted,
052022_BEL_CBC_T3_1_MCAV,MCAV,2022,Healthy,_,6_15_2022,37,6_22_2022,3.6,,,1.8,,,6_27_2022,sequenced,Processed following protocol as written ,sequenced,,"enriched - orange box (small amnt left), extracted dna - pink box",n,check enriched dna,,Depleted_UML_NARWHAL_R1_B3,DNA_extracted,Only sand left in tissue sample
