"Plot Title: 21909582"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21909582, SEN S/N: 21909582)","Temp, °F (LGR S/N: 21909582, SEN S/N: 21909582)","Coupler Attached (LGR S/N: 21909582)","Stopped (LGR S/N: 21909582)","End Of File (LGR S/N: 21909582)"
1,06/22/24 04:50:08 PM,13.16,88.34,,,
2,06/22/24 05:50:08 PM,12.56,88.52,,,
3,06/22/24 06:50:08 PM,12.28,88.59,,,
4,06/22/24 07:50:08 PM,8.20,88.12,,,
5,06/22/24 08:50:08 PM,4.65,87.40,,,
6,06/22/24 09:50:08 PM,3.83,87.12,,,
7,06/22/24 10:50:08 PM,3.48,87.01,,,
8,06/22/24 11:50:08 PM,3.41,86.97,,,
9,06/23/24 12:50:08 AM,3.39,86.94,,,
10,06/23/24 01:50:08 AM,2.99,86.83,,,
11,06/23/24 02:50:08 AM,2.53,86.86,,,
12,06/23/24 03:50:08 AM,2.06,86.97,,,
13,06/23/24 04:50:08 AM,2.91,86.97,,,
14,06/23/24 05:50:08 AM,2.41,86.94,,,
15,06/23/24 06:50:08 AM,2.36,87.04,,,
16,06/23/24 07:50:08 AM,4.58,87.12,,,
17,06/23/24 08:50:08 AM,6.08,87.12,,,
18,06/23/24 09:50:08 AM,5.38,87.19,,,
19,06/23/24 10:50:08 AM,5.51,86.86,,,
20,06/23/24 11:50:08 AM,6.69,86.83,,,
21,06/23/24 12:50:08 PM,8.31,86.79,,,
22,06/23/24 01:50:08 PM,9.98,87.08,,,
23,06/23/24 02:50:08 PM,15.81,87.37,,,
24,06/23/24 03:50:08 PM,18.05,88.05,,,
25,06/23/24 04:50:08 PM,16.83,88.20,,,
26,06/23/24 05:50:08 PM,16.14,88.09,,,
27,06/23/24 06:50:08 PM,14.00,88.02,,,
28,06/23/24 07:50:08 PM,8.55,87.84,,,
29,06/23/24 08:50:08 PM,4.66,87.40,,,
30,06/23/24 09:50:08 PM,4.61,87.15,,,
31,06/23/24 10:50:08 PM,4.61,87.04,,,
32,06/23/24 11:50:08 PM,4.58,87.01,,,
33,06/24/24 12:50:08 AM,4.32,86.94,,,
34,06/24/24 01:50:08 AM,4.32,86.97,,,
35,06/24/24 02:50:08 AM,4.30,86.94,,,
36,06/24/24 03:50:08 AM,4.15,86.90,,,
37,06/24/24 04:50:08 AM,4.11,86.86,,,
38,06/24/24 05:50:08 AM,3.84,86.72,,,
39,06/24/24 06:50:08 AM,4.05,86.76,,,
40,06/24/24 07:50:08 AM,4.54,86.76,,,
41,06/24/24 08:50:08 AM,4.17,86.83,,,
42,06/24/24 09:50:08 AM,5.11,86.54,,,
43,06/24/24 10:50:08 AM,6.62,86.58,,,
44,06/24/24 11:50:08 AM,11.25,86.68,,,
45,06/24/24 12:50:08 PM,14.17,87.01,,,
46,06/24/24 01:50:08 PM,15.95,87.15,,,
47,06/24/24 02:50:08 PM,16.26,87.30,,,
48,06/24/24 03:50:08 PM,18.18,87.62,,,
49,06/24/24 04:50:08 PM,13.66,87.51,,,
50,06/24/24 05:50:08 PM,14.57,87.62,,,
51,06/24/24 06:50:08 PM,10.31,87.55,,,
52,06/24/24 07:50:08 PM,6.85,87.37,,,
53,06/24/24 08:50:08 PM,4.81,87.08,,,
54,06/24/24 09:50:08 PM,4.16,86.90,,,
55,06/24/24 10:50:08 PM,3.82,86.76,,,
56,06/24/24 11:50:08 PM,3.27,86.65,,,
57,06/25/24 12:50:08 AM,3.43,86.58,,,
58,06/25/24 01:50:08 AM,3.49,86.65,,,
59,06/25/24 02:50:08 AM,4.01,86.54,,,
60,06/25/24 03:50:08 AM,4.15,86.22,,,
61,06/25/24 04:50:08 AM,2.89,86.14,,,
62,06/25/24 05:50:08 AM,2.26,85.89,,,
63,06/25/24 06:50:08 AM,1.38,85.93,,,
64,06/25/24 07:50:08 AM,1.74,86.04,,,
65,06/25/24 08:50:08 AM,2.42,86.32,,,
66,06/25/24 09:50:08 AM,4.06,86.47,,,
67,06/25/24 10:50:08 AM,4.57,86.65,,,
68,06/25/24 11:50:08 AM,6.21,86.94,,,
69,06/25/24 12:50:08 PM,8.12,87.04,,,
