"Plot Title: 21909587"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21909587, SEN S/N: 21909587)","Temp, °F (LGR S/N: 21909587, SEN S/N: 21909587)","Coupler Detached (LGR S/N: 21909587)","Coupler Attached (LGR S/N: 21909587)","Host Connected (LGR S/N: 21909587)","Stopped (LGR S/N: 21909587)","End Of File (LGR S/N: 21909587)"
1,04/19/24 02:31:45 PM,8.91,72.57,,,,,
2,04/19/24 02:32:46 PM,,,Logged,,,,
3,04/19/24 02:57:22 PM,,,,Logged,,,
4,04/19/24 02:57:28 PM,,,,,Logged,,
5,04/19/24 02:57:30 PM,,,Logged,,,,
6,04/19/24 03:31:45 PM,9.00,72.07,,,,,
7,04/19/24 04:31:45 PM,8.94,72.54,,,,,
8,04/19/24 05:31:45 PM,9.23,69.40,,,,,
9,04/19/24 06:31:45 PM,9.34,68.18,,,,,
10,04/19/24 07:31:45 PM,9.57,65.70,,,,,
11,04/19/24 08:31:45 PM,9.88,62.71,,,,,
12,04/19/24 09:31:45 PM,10.19,60.01,,,,,
13,04/19/24 10:31:45 PM,10.43,57.78,,,,,
14,04/19/24 11:31:45 PM,10.65,55.94,,,,,
15,04/20/24 12:31:45 AM,10.86,54.46,,,,,
16,04/20/24 01:31:45 AM,11.00,53.31,,,,,
17,04/20/24 02:31:45 AM,11.12,52.34,,,,,
18,04/20/24 03:31:45 AM,11.25,51.55,,,,,
19,04/20/24 04:31:45 AM,11.31,50.94,,,,,
20,04/20/24 05:31:45 AM,11.38,50.47,,,,,
21,04/20/24 06:31:45 AM,11.45,50.11,,,,,
22,04/20/24 07:31:45 AM,11.48,49.71,,,,,
23,04/20/24 08:31:45 AM,11.53,49.50,,,,,
24,04/20/24 09:31:45 AM,11.47,49.75,,,,,
25,04/20/24 10:31:45 AM,11.35,50.65,,,,,
26,04/20/24 11:31:45 AM,11.06,52.41,,,,,
27,04/20/24 12:31:45 PM,10.23,58.42,,,,,
28,04/20/24 01:31:45 PM,9.28,67.32,,,,,
29,04/20/24 02:31:45 PM,8.87,72.10,,,,,
30,04/20/24 03:31:45 PM,8.80,72.79,,,,,
31,04/20/24 04:31:45 PM,8.82,72.61,,,,,
32,04/20/24 05:31:45 PM,8.64,74.62,,,,,
33,04/20/24 06:31:45 PM,8.43,77.50,,,,,
34,04/20/24 07:31:45 PM,8.60,75.45,,,,,
35,04/20/24 08:31:45 PM,8.99,70.92,,,,,
36,04/20/24 09:31:45 PM,9.48,65.88,,,,,
37,04/20/24 10:31:45 PM,10.01,60.73,,,,,
38,04/20/24 11:31:45 PM,10.55,56.08,,,,,
39,04/21/24 12:31:45 AM,11.06,52.27,,,,,
40,04/21/24 01:31:45 AM,11.55,48.96,,,,,
41,04/21/24 02:31:45 AM,11.99,46.11,,,,,
42,04/21/24 03:31:45 AM,12.39,43.74,,,,,
43,04/21/24 04:31:45 AM,12.73,41.72,,,,,
44,04/21/24 05:31:45 AM,13.05,39.92,,,,,
45,04/21/24 06:31:45 AM,13.37,38.30,,,,,
46,04/21/24 07:31:45 AM,13.56,37.33,,,,,
47,04/21/24 08:31:45 AM,13.55,37.44,,,,,
48,04/21/24 09:31:45 AM,12.94,40.64,,,,,
49,04/21/24 10:31:45 AM,11.69,47.70,,,,,
50,04/21/24 11:31:45 AM,10.45,56.62,,,,,
51,04/21/24 12:31:45 PM,9.58,64.22,,,,,
52,04/21/24 01:31:45 PM,9.13,68.94,,,,,
53,04/21/24 02:31:45 PM,8.97,70.48,,,,,
54,04/21/24 03:31:45 PM,9.18,68.90,,,,,
55,04/21/24 04:31:45 PM,9.28,68.14,,,,,
56,04/21/24 05:31:45 PM,9.35,67.32,,,,,
57,04/21/24 06:31:45 PM,9.39,66.85,,,,,
58,04/21/24 07:31:45 PM,9.32,67.57,,,,,
59,04/21/24 08:31:45 PM,9.23,68.36,,,,,
60,04/21/24 09:31:45 PM,9.17,69.19,,,,,
61,04/21/24 10:31:45 PM,9.13,69.44,,,,,
62,04/21/24 11:31:45 PM,9.12,69.37,,,,,
63,04/22/24 12:31:45 AM,9.13,69.26,,,,,
64,04/22/24 01:31:45 AM,9.17,69.08,,,,,
65,04/22/24 02:31:45 AM,9.17,68.79,,,,,
66,04/22/24 03:31:45 AM,9.20,68.47,,,,,
67,04/22/24 04:31:45 AM,9.27,68.14,,,,,
68,04/22/24 05:31:45 AM,9.29,67.86,,,,,
69,04/22/24 06:31:45 AM,9.35,67.53,,,,,
70,04/22/24 07:31:45 AM,9.38,67.32,,,,,
71,04/22/24 08:31:45 AM,9.38,67.35,,,,,
72,04/22/24 09:31:45 AM,9.32,68.25,,,,,
73,04/22/24 10:31:45 AM,9.18,69.98,,,,,
74,04/22/24 11:31:45 AM,9.15,70.45,,,,,
75,04/22/24 12:31:45 PM,9.16,70.27,,,,,
76,04/22/24 01:31:45 PM,9.16,70.20,,,,,
77,04/22/24 02:31:45 PM,9.16,70.16,,,,,
78,04/22/24 03:31:45 PM,9.16,70.09,,,,,
79,04/22/24 04:31:45 PM,9.17,69.91,,,,,
80,04/22/24 05:31:45 PM,9.20,69.58,,,,,
81,04/22/24 06:31:45 PM,9.21,69.44,,,,,
82,04/22/24 07:31:45 PM,9.22,69.44,,,,,
83,04/22/24 08:31:45 PM,9.25,69.37,,,,,
84,04/22/24 09:31:45 PM,9.27,69.12,,,,,
85,04/22/24 10:31:45 PM,9.28,69.04,,,,,
86,04/22/24 11:31:45 PM,9.26,69.08,,,,,
87,04/23/24 12:31:45 AM,9.27,69.01,,,,,
88,04/23/24 01:31:45 AM,9.28,68.86,,,,,
89,04/23/24 02:31:45 AM,9.31,68.61,,,,,
90,04/23/24 03:31:45 AM,9.34,68.36,,,,,
91,04/23/24 04:31:45 AM,9.37,68.11,,,,,
92,04/23/24 05:31:45 AM,9.40,67.86,,,,,
93,04/23/24 06:31:45 AM,9.44,67.60,,,,,
94,04/23/24 07:31:45 AM,9.45,67.46,,,,,
95,04/23/24 08:31:45 AM,9.47,67.53,,,,,
96,04/23/24 09:31:45 AM,9.42,67.89,,,,,
97,04/23/24 10:31:45 AM,9.36,68.72,,,,,
98,04/23/24 11:31:45 AM,9.26,69.48,,,,,
99,04/23/24 12:31:45 PM,9.19,70.05,,,,,
100,04/23/24 01:31:45 PM,9.16,70.38,,,,,
101,04/23/24 02:31:45 PM,9.12,70.48,,,,,
102,04/23/24 03:31:45 PM,9.12,70.41,,,,,
103,04/23/24 04:31:45 PM,9.13,70.23,,,,,
104,04/23/24 05:31:45 PM,9.18,70.02,,,,,
105,04/23/24 06:31:45 PM,9.21,69.58,,,,,
106,04/23/24 07:31:45 PM,9.26,68.97,,,,,
107,04/23/24 08:31:45 PM,9.65,66.16,,,,,
108,04/23/24 09:31:45 PM,9.97,63.54,,,,,
109,04/23/24 10:31:45 PM,10.15,61.84,,,,,
110,04/23/24 11:31:45 PM,10.29,60.76,,,,,
111,04/24/24 12:31:45 AM,10.35,60.08,,,,,
112,04/24/24 01:31:45 AM,10.40,59.61,,,,,
113,04/24/24 02:31:45 AM,10.44,59.32,,,,,
114,04/24/24 03:31:45 AM,10.52,58.82,,,,,
115,04/24/24 04:31:45 AM,10.74,56.66,,,,,
116,04/24/24 05:31:45 AM,10.92,55.15,,,,,
117,04/24/24 06:31:45 AM,8.83,53.20,,,,,
118,04/24/24 07:31:45 AM,8.75,51.48,,,,,
119,04/24/24 08:31:45 AM,11.28,49.64,,,,,
120,04/24/24 09:19:19 AM,,,Logged,,,,
121,04/24/24 09:31:45 AM,11.33,48.45,,,,,
