"Plot Title: 21909582"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21909582, SEN S/N: 21909582)","Temp, °F (LGR S/N: 21909582, SEN S/N: 21909582)","Expired Sensor Cap (LGR S/N: 21909582)","Missing Sensor Cap (LGR S/N: 21909582)","Coupler Detached (LGR S/N: 21909582)","Coupler Attached (LGR S/N: 21909582)","Stopped (LGR S/N: 21909582)","End Of File (LGR S/N: 21909582)"
1,08/25/24 11:50:08 AM,9.19,87.69,,,,,,
2,08/25/24 12:50:08 PM,9.51,88.05,,,,,,
3,08/25/24 01:50:08 PM,10.25,88.30,,,,,,
4,08/25/24 02:50:08 PM,10.16,88.05,,,,,,
5,08/25/24 03:50:08 PM,9.46,87.40,,,,,,
6,08/25/24 04:50:08 PM,8.98,87.58,,,,,,
7,08/25/24 05:50:08 PM,8.44,87.55,,,,,,
8,08/25/24 06:50:08 PM,8.09,87.48,,,,,,
9,08/25/24 07:50:08 PM,7.06,87.37,,,,,,
10,08/25/24 08:50:08 PM,6.47,87.30,,,,,,
11,08/25/24 09:50:08 PM,6.46,87.22,,,,,,
12,08/25/24 10:50:08 PM,6.32,87.08,,,,,,
13,08/25/24 11:50:08 PM,6.78,87.12,,,,,,
14,08/26/24 12:50:08 AM,6.85,86.90,,,,,,
15,08/26/24 01:50:08 AM,5.86,87.04,,,,,,
16,08/26/24 02:50:08 AM,5.36,87.08,,,,,,
17,08/26/24 03:50:08 AM,4.50,87.08,,,,,,
18,08/26/24 04:50:08 AM,4.57,86.94,,,,,,
19,08/26/24 05:50:08 AM,4.51,86.90,,,,,,
20,08/26/24 06:50:08 AM,4.49,86.54,,,,,,
21,08/26/24 07:50:08 AM,4.43,86.83,,,,,,
22,08/26/24 08:50:08 AM,6.45,86.29,,,,,,
23,08/26/24 09:50:08 AM,8.16,86.00,,,,,,
24,08/26/24 10:50:08 AM,8.96,85.75,,,,,,
25,08/26/24 11:50:08 AM,9.33,86.04,,,,,,
26,08/26/24 12:50:08 PM,10.11,86.22,,,,,,
27,08/26/24 01:50:08 PM,10.02,86.76,,,,,,
28,08/26/24 02:50:08 PM,10.22,86.79,,,,,,
29,08/26/24 03:50:08 PM,10.14,87.08,,,,,,
30,08/26/24 04:50:08 PM,9.71,87.12,,,,,,
31,08/26/24 05:50:08 PM,9.50,87.04,,,,,,
32,08/26/24 06:50:08 PM,8.22,86.97,,,,,,
33,08/26/24 07:50:08 PM,7.00,86.90,,,,,,
34,08/26/24 08:50:08 PM,6.21,86.94,,,,,,
35,08/26/24 09:50:08 PM,6.30,86.90,,,,,,
36,08/26/24 10:50:08 PM,6.14,86.86,,,,,,
37,08/26/24 11:50:08 PM,6.28,86.83,,,,,,
38,08/27/24 12:50:08 AM,6.35,86.83,,,,,,
39,08/27/24 01:50:08 AM,6.20,86.72,,,,,,
40,08/27/24 02:50:08 AM,5.93,86.68,,,,,,
41,08/27/24 03:50:08 AM,5.57,86.50,,,,,,
42,08/27/24 04:50:08 AM,3.95,86.47,,,,,,
43,08/27/24 05:50:08 AM,2.56,86.47,,,,,,
44,08/27/24 06:50:08 AM,4.69,86.36,,,,,,
45,08/27/24 07:50:08 AM,6.32,86.36,,,,,,
46,08/27/24 08:50:08 AM,6.66,86.36,,,,,,
47,08/27/24 09:50:08 AM,8.74,86.43,,,,,,
48,08/27/24 10:50:08 AM,10.17,86.68,,,,,,
49,08/27/24 11:50:08 AM,10.86,87.12,,,,,,
50,08/27/24 12:50:08 PM,11.30,87.58,,,,,,
51,08/27/24 01:50:08 PM,11.28,88.09,,,,,,
52,08/27/24 02:50:08 PM,11.54,88.45,,,,,,
53,08/27/24 03:50:08 PM,11.48,88.81,,,,,,
