"Plot Title: 21909581"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21909581, SEN S/N: 21909581)","Temp, °F (LGR S/N: 21909581, SEN S/N: 21909581)","Expired Sensor Cap (LGR S/N: 21909581)","Coupler Detached (LGR S/N: 21909581)","Coupler Attached (LGR S/N: 21909581)","Stopped (LGR S/N: 21909581)","End Of File (LGR S/N: 21909581)"
1,08/22/24 11:22:36 AM,15.27,86.86,,,,,
2,08/22/24 12:22:36 PM,14.92,86.97,,,,,
3,08/22/24 01:22:36 PM,18.22,87.12,,,,,
4,08/22/24 02:22:36 PM,20.16,87.26,,,,,
5,08/22/24 03:22:36 PM,23.67,87.37,,,,,
6,08/22/24 04:22:36 PM,20.11,87.40,,,,,
7,08/22/24 05:22:36 PM,15.51,87.48,,,,,
8,08/22/24 06:22:36 PM,9.63,87.37,,,,,
9,08/22/24 07:22:36 PM,5.24,87.40,,,,,
10,08/22/24 08:22:36 PM,0.88,87.30,,,,,
11,08/22/24 09:22:36 PM,0.67,87.26,,,,,
12,08/22/24 10:22:36 PM,0.67,87.15,,,,,
13,08/22/24 11:22:36 PM,0.72,87.12,,,,,
14,08/23/24 12:22:36 AM,0.70,87.08,,,,,
15,08/23/24 01:22:36 AM,0.70,87.04,,,,,
16,08/23/24 02:22:36 AM,0.66,86.97,,,,,
17,08/23/24 03:22:36 AM,0.64,86.94,,,,,
18,08/23/24 04:22:36 AM,0.59,86.94,,,,,
19,08/23/24 05:22:36 AM,0.56,86.94,,,,,
20,08/23/24 06:22:36 AM,0.54,86.94,,,,,
21,08/23/24 07:22:36 AM,0.60,86.90,,,,,
22,08/23/24 08:22:36 AM,0.78,86.90,,,,,
23,08/23/24 09:22:36 AM,1.39,86.86,,,,,
24,08/23/24 10:22:36 AM,5.22,86.86,,,,,
25,08/23/24 11:22:36 AM,11.85,86.86,,,,,
26,08/23/24 12:22:36 PM,10.45,86.90,,,,,
27,08/23/24 01:22:36 PM,5.60,86.86,,,,,
28,08/23/24 02:22:36 PM,7.20,86.86,,,,,
29,08/23/24 03:22:36 PM,16.04,86.94,,,,,
30,08/23/24 04:22:36 PM,21.91,87.04,,,,,
31,08/23/24 05:22:36 PM,17.53,87.04,,,,,
32,08/23/24 06:22:36 PM,10.51,86.90,,,,,
33,08/23/24 07:22:36 PM,4.41,87.04,,,,,
34,08/23/24 08:22:36 PM,1.23,87.08,,,,,
35,08/23/24 09:22:36 PM,0.93,87.08,,,,,
36,08/23/24 10:22:36 PM,0.94,87.04,,,,,
37,08/23/24 11:22:36 PM,0.89,86.97,,,,,
38,08/24/24 12:22:36 AM,0.86,86.97,,,,,
39,08/24/24 01:22:36 AM,0.88,86.94,,,,,
40,08/24/24 02:22:36 AM,0.84,86.94,,,,,
41,08/24/24 03:22:36 AM,0.84,86.94,,,,,
42,08/24/24 04:22:36 AM,0.74,86.90,,,,,
43,08/24/24 05:22:36 AM,0.73,86.90,,,,,
44,08/24/24 06:22:36 AM,0.71,86.90,,,,,
45,08/24/24 07:22:36 AM,0.62,86.90,,,,,
46,08/24/24 08:22:36 AM,0.65,86.90,,,,,
47,08/24/24 09:22:36 AM,1.27,86.83,,,,,
48,08/24/24 10:22:36 AM,4.84,86.83,,,,,
49,08/24/24 11:22:36 AM,9.94,86.72,,,,,
50,08/24/24 12:22:36 PM,15.33,86.36,,,,,
51,08/24/24 01:22:36 PM,18.88,86.40,,,,,
52,08/24/24 02:22:36 PM,14.56,86.40,,,,,
53,08/24/24 03:22:36 PM,21.82,86.50,,,,,
54,08/24/24 04:22:36 PM,22.31,86.72,,,,,
55,08/24/24 05:22:36 PM,2.29,86.79,,,,,
56,08/24/24 06:22:36 PM,3.91,86.79,,,,,
57,08/24/24 07:22:36 PM,1.93,86.83,,,,,
58,08/24/24 08:22:36 PM,1.40,86.83,,,,,
59,08/24/24 09:22:36 PM,0.98,86.83,,,,,
60,08/24/24 10:22:36 PM,0.94,86.79,,,,,
61,08/24/24 11:22:36 PM,1.03,86.76,,,,,
62,08/25/24 12:22:36 AM,1.04,86.65,,,,,
63,08/25/24 01:22:36 AM,1.05,86.68,,,,,
64,08/25/24 02:22:36 AM,1.09,86.61,,,,,
65,08/25/24 03:22:36 AM,0.98,86.65,,,,,
66,08/25/24 04:22:36 AM,0.97,86.76,,,,,
67,08/25/24 05:22:36 AM,0.92,86.68,,,,,
68,08/25/24 06:22:36 AM,1.02,86.54,,,,,
69,08/25/24 07:22:36 AM,0.95,86.18,,,,,
70,08/25/24 08:22:36 AM,1.21,86.18,,,,,
71,08/25/24 09:22:36 AM,3.93,86.36,,,,,
72,08/25/24 10:22:36 AM,12.66,86.40,,,,,
73,08/25/24 11:22:36 AM,17.74,86.65,,,,,
74,08/25/24 12:22:36 PM,20.32,86.94,,,,,
75,08/25/24 01:22:36 PM,16.55,87.01,,,,,
76,08/25/24 02:22:36 PM,26.11,87.04,,,,,
77,08/25/24 03:22:36 PM,27.06,87.08,,,,,
78,08/25/24 04:22:36 PM,21.62,87.04,,,,,
79,08/25/24 05:22:36 PM,16.18,87.08,,,,,
80,08/25/24 06:22:36 PM,11.57,87.01,,,,,
81,08/25/24 07:22:36 PM,7.04,86.94,,,,,
82,08/25/24 08:22:36 PM,1.13,86.86,,,,,
83,08/25/24 09:22:36 PM,0.73,86.86,,,,,
84,08/25/24 10:22:36 PM,0.70,86.79,,,,,
85,08/25/24 11:22:36 PM,0.67,86.76,,,,,
86,08/26/24 12:22:36 AM,0.67,86.76,,,,,
87,08/26/24 01:22:36 AM,0.70,86.72,,,,,
88,08/26/24 02:22:36 AM,0.68,86.58,,,,,
89,08/26/24 03:22:36 AM,0.70,86.54,,,,,
90,08/26/24 04:22:36 AM,0.72,86.54,,,,,
91,08/26/24 05:22:36 AM,0.72,86.54,,,,,
92,08/26/24 06:22:36 AM,0.70,86.58,,,,,
93,08/26/24 07:22:36 AM,0.70,86.58,,,,,
