"Plot Title: 21909587"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21909587, SEN S/N: 21909587)","Temp, °F (LGR S/N: 21909587, SEN S/N: 21909587)","Expired Sensor Cap (LGR S/N: 21909587)","Coupler Attached (LGR S/N: 21909587)","Host Connected (LGR S/N: 21909587)","Stopped (LGR S/N: 21909587)","End Of File (LGR S/N: 21909587)"
1,08/24/24 04:31:45 PM,14.90,87.12,,,,,
2,08/24/24 05:31:45 PM,14.18,86.58,,,,,
3,08/24/24 06:31:45 PM,11.46,86.97,,,,,
4,08/24/24 07:31:45 PM,6.69,87.01,,,,,
5,08/24/24 08:31:45 PM,4.99,87.22,,,,,
6,08/24/24 09:31:45 PM,4.37,87.26,,,,,
7,08/24/24 10:31:45 PM,4.11,87.26,,,,,
8,08/24/24 11:31:45 PM,3.68,87.22,,,,,
9,08/25/24 12:31:45 AM,3.60,87.15,,,,,
10,08/25/24 01:31:45 AM,3.50,87.19,,,,,
11,08/25/24 02:31:45 AM,4.76,86.54,,,,,
12,08/25/24 03:31:45 AM,4.62,86.43,,,,,
13,08/25/24 04:31:45 AM,3.98,86.58,,,,,
14,08/25/24 05:31:45 AM,4.21,86.97,,,,,
15,08/25/24 06:31:45 AM,3.96,87.08,,,,,
16,08/25/24 07:31:45 AM,3.31,87.08,,,,,
17,08/25/24 08:31:45 AM,3.67,87.15,,,,,
18,08/25/24 09:31:45 AM,5.32,87.26,,,,,
19,08/25/24 10:31:45 AM,9.41,87.37,,,,,
20,08/25/24 11:31:45 AM,10.73,87.51,,,,,
21,08/25/24 12:31:45 PM,12.52,87.73,,,,,
22,08/25/24 01:31:45 PM,11.49,87.87,,,,,
23,08/25/24 02:31:45 PM,11.12,87.91,,,,,
24,08/25/24 03:31:45 PM,12.41,87.91,,,,,
25,08/25/24 04:31:45 PM,13.39,87.84,,,,,
26,08/25/24 05:31:45 PM,11.72,87.76,,,,,
27,08/25/24 06:31:45 PM,8.44,87.33,,,,,
28,08/25/24 07:31:45 PM,6.16,87.15,,,,,
29,08/25/24 08:31:45 PM,5.24,87.15,,,,,
30,08/25/24 09:31:45 PM,5.11,87.01,,,,,
31,08/25/24 10:31:45 PM,4.79,86.94,,,,,
32,08/25/24 11:31:45 PM,4.60,86.83,,,,,
33,08/26/24 12:31:45 AM,4.74,86.72,,,,,
34,08/26/24 01:31:45 AM,4.38,86.61,,,,,
35,08/26/24 02:31:45 AM,3.99,86.65,,,,,
36,08/26/24 03:31:45 AM,3.54,86.90,,,,,
37,08/26/24 04:31:45 AM,2.30,86.76,,,,,
38,08/26/24 05:31:45 AM,1.48,86.76,,,,,
39,08/26/24 06:31:45 AM,0.88,86.50,,,,,
40,08/26/24 07:31:45 AM,1.17,86.76,,,,,
41,08/26/24 08:31:45 AM,2.26,87.04,,,,,
42,08/26/24 09:31:45 AM,3.64,87.08,,,,,
43,08/26/24 10:31:45 AM,5.42,86.76,,,,,
44,08/26/24 11:31:45 AM,8.92,86.07,,,,,
45,08/26/24 12:31:45 PM,8.73,86.14,,,,,
46,08/26/24 01:31:45 PM,10.02,86.58,,,,,
47,08/26/24 02:31:45 PM,8.50,86.86,,,,,
48,08/26/24 03:31:45 PM,10.97,87.15,,,,,
49,08/26/24 04:31:45 PM,9.69,87.37,,,,,
50,08/26/24 05:31:45 PM,8.71,87.08,,,,,
51,08/26/24 06:31:45 PM,7.01,86.65,,,,,
52,08/26/24 07:31:45 PM,5.55,86.68,,,,,
53,08/26/24 08:31:45 PM,4.70,86.54,,,,,
54,08/26/24 09:31:45 PM,4.61,86.50,,,,,
55,08/26/24 10:31:45 PM,4.47,86.58,,,,,
56,08/26/24 11:31:45 PM,4.43,86.58,,,,,
57,08/27/24 12:31:45 AM,3.94,86.65,,,,,
58,08/27/24 01:31:45 AM,3.89,86.43,,,,,
59,08/27/24 02:31:45 AM,3.28,86.72,,,,,
60,08/27/24 03:31:45 AM,2.28,86.76,,,,,
61,08/27/24 04:31:45 AM,1.82,86.68,,,,,
62,08/27/24 05:31:45 AM,1.64,86.94,,,,,
63,08/27/24 06:31:45 AM,1.26,86.94,,,,,
64,08/27/24 07:31:45 AM,0.68,86.79,,,,,
65,08/27/24 08:31:45 AM,1.77,86.76,,,,,
66,08/27/24 09:31:45 AM,3.56,86.25,,,,,
67,08/27/24 10:31:45 AM,5.91,86.43,,,,,
68,08/27/24 11:31:45 AM,7.93,86.83,,,,,
69,08/27/24 12:31:45 PM,9.39,87.22,,,,,
70,08/27/24 01:31:45 PM,11.55,87.80,,,,,
71,08/27/24 02:31:45 PM,12.60,87.87,,,,,
72,08/27/24 03:31:45 PM,16.51,88.20,,,,,
73,08/27/24 04:31:45 PM,19.76,88.38,,,,,
74,08/27/24 05:31:45 PM,18.27,88.41,,,,,
75,08/27/24 06:31:45 PM,12.10,88.09,,,,,
76,08/27/24 07:31:45 PM,6.35,87.66,,,,,
77,08/27/24 08:31:45 PM,3.12,87.48,,,,,
78,08/27/24 09:31:45 PM,3.18,87.40,,,,,
79,08/27/24 10:31:45 PM,3.82,87.33,,,,,
80,08/27/24 11:31:45 PM,3.95,87.30,,,,,
81,08/28/24 12:31:45 AM,3.77,87.22,,,,,
82,08/28/24 01:31:45 AM,3.59,87.19,,,,,
83,08/28/24 02:31:45 AM,3.32,87.12,,,,,
84,08/28/24 03:31:45 AM,2.85,86.97,,,,,
85,08/28/24 04:31:45 AM,1.71,86.50,,,,,
86,08/28/24 05:31:45 AM,1.54,86.58,,,,,
87,08/28/24 06:31:45 AM,0.93,86.58,,,,,
88,08/28/24 07:31:45 AM,0.59,86.83,,,,,
89,08/28/24 08:31:45 AM,3.33,87.08,,,,,
90,08/28/24 09:31:45 AM,5.46,87.19,,,,,
91,08/28/24 10:31:45 AM,6.89,87.12,,,,,
92,08/28/24 11:31:45 AM,8.92,87.37,,,,,
93,08/28/24 12:31:45 PM,10.19,87.62,,,,,
94,08/28/24 01:31:45 PM,12.87,87.66,,,,,
95,08/28/24 02:31:45 PM,6.18,87.69,,,,,
96,08/28/24 03:31:45 PM,18.34,88.23,,,,,
97,08/28/24 04:31:45 PM,19.41,88.20,,,,,
98,08/28/24 05:31:45 PM,14.34,88.20,,,,,
99,08/28/24 06:31:45 PM,8.05,87.98,,,,,
100,08/28/24 07:31:45 PM,4.71,87.76,,,,,
101,08/28/24 08:31:45 PM,3.91,87.44,,,,,
102,08/28/24 09:31:45 PM,3.52,87.58,,,,,
103,08/28/24 10:31:45 PM,3.69,87.55,,,,,
104,08/28/24 11:31:45 PM,3.79,87.40,,,,,
105,08/29/24 12:31:45 AM,3.62,87.26,,,,,
106,08/29/24 01:31:45 AM,3.62,87.19,,,,,
107,08/29/24 02:31:45 AM,3.05,87.08,,,,,
108,08/29/24 03:31:45 AM,2.77,86.94,,,,,
109,08/29/24 04:31:45 AM,1.64,86.65,,,,,
110,08/29/24 05:31:45 AM,1.01,86.47,,,,,
111,08/29/24 06:31:45 AM,0.86,86.50,,,,,
112,08/29/24 07:31:45 AM,1.32,86.58,,,,,
113,08/29/24 08:31:45 AM,1.68,86.65,,,,,
114,08/29/24 09:31:45 AM,4.56,86.86,,,,,
115,08/29/24 10:31:45 AM,6.69,87.04,,,,,
116,08/29/24 11:31:45 AM,7.65,87.22,,,,,
117,08/29/24 12:31:45 PM,9.11,87.51,,,,,
118,08/29/24 01:31:45 PM,11.30,87.66,,,,,
119,08/29/24 02:31:45 PM,10.49,87.76,,,,,
120,08/29/24 03:31:45 PM,18.60,88.20,,,,,
121,08/29/24 04:31:45 PM,18.83,88.45,,,,,
122,08/29/24 05:31:45 PM,15.19,88.34,,,,,
123,08/29/24 06:31:45 PM,10.98,88.20,,,,,
124,08/29/24 07:31:45 PM,5.49,87.87,,,,,
125,08/29/24 08:31:45 PM,3.14,87.66,,,,,
126,08/29/24 09:31:45 PM,3.44,87.48,,,,,
127,08/29/24 10:31:45 PM,3.25,87.62,,,,,
128,08/29/24 11:31:45 PM,3.40,87.48,,,,,
129,08/30/24 12:31:45 AM,3.34,87.33,,,,,
130,08/30/24 01:31:45 AM,2.77,87.08,,,,,
131,08/30/24 02:31:45 AM,1.91,86.54,,,,,
132,08/30/24 03:31:45 AM,1.83,86.36,,,,,
133,08/30/24 04:31:45 AM,1.54,86.36,,,,,
134,08/30/24 05:31:45 AM,1.65,86.58,,,,,
135,08/30/24 06:31:45 AM,2.12,86.72,,,,,
136,08/30/24 07:31:45 AM,1.88,86.76,,,,,
137,08/30/24 08:31:45 AM,3.01,86.90,,,,,
138,08/30/24 09:31:45 AM,6.05,87.04,,,,,
139,08/30/24 10:31:45 AM,6.26,87.15,,,,,
140,08/30/24 11:31:45 AM,8.53,87.44,,,,,
141,08/30/24 12:31:45 PM,8.50,87.69,,,,,
142,08/30/24 01:31:45 PM,9.54,87.76,,,,,
143,08/30/24 02:31:45 PM,9.40,88.41,,,,,
144,08/30/24 03:31:45 PM,8.00,88.70,,,,,
145,08/30/24 04:31:45 PM,16.14,88.95,,,,,
146,08/30/24 05:31:45 PM,15.29,88.12,,,,,
147,08/30/24 06:31:45 PM,11.43,87.94,,,,,
148,08/30/24 07:31:45 PM,3.92,87.73,,,,,
149,08/30/24 08:31:45 PM,3.18,87.94,,,,,
150,08/30/24 09:31:45 PM,2.75,87.87,,,,,
151,08/30/24 10:31:45 PM,3.19,87.58,,,,,
152,08/30/24 11:31:45 PM,3.32,87.48,,,,,
153,08/31/24 12:31:45 AM,2.84,87.55,,,,,
154,08/31/24 01:31:45 AM,2.53,87.48,,,,,
155,08/31/24 02:31:45 AM,2.58,87.22,,,,,
156,08/31/24 03:31:45 AM,2.35,86.94,,,,,
157,08/31/24 04:31:45 AM,1.05,86.79,,,,,
158,08/31/24 05:31:45 AM,1.03,86.54,,,,,
159,08/31/24 06:31:45 AM,0.76,86.47,,,,,
160,08/31/24 07:31:45 AM,0.46,86.58,,,,,
161,08/31/24 08:31:45 AM,2.02,86.86,,,,,
162,08/31/24 09:31:45 AM,4.28,86.97,,,,,
163,08/31/24 10:31:45 AM,6.23,86.97,,,,,
164,08/31/24 11:31:45 AM,7.50,87.19,,,,,
165,08/31/24 12:31:45 PM,10.11,87.44,,,,,
166,08/31/24 01:31:45 PM,11.99,87.73,,,,,
167,08/31/24 02:31:45 PM,14.38,87.94,,,,,
168,08/31/24 03:31:45 PM,18.18,88.16,,,,,
169,08/31/24 04:31:45 PM,22.01,88.41,,,,,
170,08/31/24 05:31:45 PM,17.35,88.27,,,,,
171,08/31/24 06:31:45 PM,11.14,87.91,,,,,
172,08/31/24 07:31:45 PM,4.34,87.73,,,,,
173,08/31/24 08:31:45 PM,2.92,88.41,,,,,
174,08/31/24 09:31:45 PM,2.49,88.16,,,,,
175,08/31/24 10:31:45 PM,2.76,88.09,,,,,
176,08/31/24 11:31:45 PM,3.06,87.76,,,,,
177,09/01/24 12:31:45 AM,2.78,87.69,,,,,
178,09/01/24 01:31:45 AM,2.59,87.73,,,,,
179,09/01/24 02:31:45 AM,2.60,87.58,,,,,
180,09/01/24 03:31:45 AM,2.28,87.48,,,,,
181,09/01/24 04:31:45 AM,2.16,87.26,,,,,
182,09/01/24 05:31:45 AM,1.10,87.01,,,,,
183,09/01/24 06:31:45 AM,0.92,86.90,,,,,
184,09/01/24 07:31:45 AM,1.14,86.76,,,,,
185,09/01/24 08:31:45 AM,1.35,86.90,,,,,
186,09/01/24 09:31:45 AM,4.02,87.19,,,,,
187,09/01/24 10:31:45 AM,6.75,87.40,,,,,
188,09/01/24 11:31:45 AM,8.55,87.58,,,,,
189,09/01/24 12:31:45 PM,7.79,87.94,,,,,
190,09/01/24 01:31:45 PM,9.46,88.23,,,,,
191,09/01/24 02:31:45 PM,8.37,88.23,,,,,
192,09/01/24 03:31:45 PM,18.70,88.84,,,,,
193,09/01/24 04:31:45 PM,20.71,88.77,,,,,
194,09/01/24 05:31:45 PM,15.38,88.41,,,,,
195,09/01/24 06:31:45 PM,10.67,88.23,,,,,
196,09/01/24 07:31:45 PM,4.10,87.98,,,,,
197,09/01/24 08:31:45 PM,2.82,88.16,,,,,
198,09/01/24 09:31:45 PM,2.92,88.63,,,,,
199,09/01/24 10:31:45 PM,2.52,88.41,,,,,
200,09/01/24 11:31:45 PM,2.11,88.38,,,,,
201,09/02/24 12:31:45 AM,1.93,88.30,,,,,
202,09/02/24 01:31:45 AM,2.36,87.69,,,,,
203,09/02/24 02:31:45 AM,2.40,87.58,,,,,
204,09/02/24 03:31:45 AM,2.05,87.66,,,,,
205,09/02/24 04:31:45 AM,1.51,87.51,,,,,
206,09/02/24 05:31:45 AM,1.44,87.30,,,,,
207,09/02/24 06:31:45 AM,0.86,87.26,,,,,
208,09/02/24 07:31:45 AM,2.02,87.01,,,,,
209,09/02/24 08:31:45 AM,2.86,87.04,,,,,
210,09/02/24 09:31:45 AM,5.34,86.90,,,,,
211,09/02/24 10:31:45 AM,5.29,87.04,,,,,
212,09/02/24 11:31:45 AM,10.07,87.37,,,,,
213,09/02/24 12:31:45 PM,7.80,87.66,,,,,
214,09/02/24 01:31:45 PM,10.88,88.12,,,,,
215,09/02/24 02:31:45 PM,11.80,88.52,,,,,
216,09/02/24 03:31:45 PM,20.62,89.28,,,,,
217,09/02/24 04:31:45 PM,18.70,89.02,,,,,
218,09/02/24 05:31:45 PM,13.57,88.66,,,,,
219,09/02/24 06:31:45 PM,9.58,88.56,,,,,
220,09/02/24 07:31:45 PM,3.78,89.35,,,,,
221,09/02/24 08:31:45 PM,2.95,89.10,,,,,
222,09/02/24 09:31:45 PM,2.68,88.92,,,,,
223,09/02/24 10:31:45 PM,2.31,88.48,,,,,
224,09/02/24 11:31:45 PM,2.01,88.23,,,,,
225,09/03/24 12:31:45 AM,1.64,87.98,,,,,
226,09/03/24 01:31:45 AM,1.87,87.98,,,,,
227,09/03/24 02:31:45 AM,2.02,87.84,,,,,
228,09/03/24 03:31:45 AM,1.61,87.76,,,,,
229,09/03/24 04:31:45 AM,1.31,87.69,,,,,
230,09/03/24 05:31:45 AM,1.29,87.48,,,,,
231,09/03/24 06:31:45 AM,1.04,87.22,,,,,
232,09/03/24 07:31:45 AM,0.95,87.08,,,,,
233,09/03/24 08:31:45 AM,1.45,87.12,,,,,
234,09/03/24 09:31:45 AM,3.37,87.26,,,,,
235,09/03/24 10:31:45 AM,5.51,87.51,,,,,
236,09/03/24 11:31:45 AM,8.53,87.76,,,,,
237,09/03/24 12:31:45 PM,8.91,87.94,,,,,
238,09/03/24 01:31:45 PM,10.86,88.09,,,,,
