"Plot Title: 21909583"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21909583, SEN S/N: 21909583)","Temp, °F (LGR S/N: 21909583, SEN S/N: 21909583)","Expired Sensor Cap (LGR S/N: 21909583)","New Sensor Cap (LGR S/N: 21909583)","Coupler Attached (LGR S/N: 21909583)","Stopped (LGR S/N: 21909583)","End Of File (LGR S/N: 21909583)"
1,08/24/24 11:30:32 AM,10.48,86.86,,,,,
2,08/24/24 12:30:32 PM,27.55,86.43,,,,,
3,08/24/24 01:30:32 PM,34.13,86.50,,,,,
4,08/24/24 02:30:32 PM,24.08,86.47,,,,,
5,08/24/24 03:30:32 PM,31.49,86.65,,,,,
6,08/24/24 04:30:32 PM,31.37,87.15,,,,,
7,08/24/24 05:30:32 PM,27.62,87.22,,,,,
8,08/24/24 06:30:32 PM,23.00,87.22,,,,,
9,08/24/24 07:30:32 PM,11.42,87.12,,,,,
10,08/24/24 08:30:32 PM,0.47,87.04,,,,,
11,08/24/24 09:30:32 PM,0.11,86.86,,,,,
12,08/24/24 10:30:32 PM,0.10,86.83,,,,,
13,08/24/24 11:30:32 PM,0.09,86.83,,,,,
14,08/25/24 12:30:32 AM,0.09,86.72,,,,,
15,08/25/24 01:30:32 AM,0.10,86.76,,,,,
16,08/25/24 02:30:32 AM,0.09,86.68,,,,,
17,08/25/24 03:30:32 AM,0.08,86.58,,,,,
18,08/25/24 04:30:32 AM,0.09,86.76,,,,,
19,08/25/24 05:30:32 AM,0.07,86.79,,,,,
20,08/25/24 06:30:32 AM,0.05,86.68,,,,,
21,08/25/24 07:30:32 AM,0.07,86.47,,,,,
22,08/25/24 08:30:32 AM,0.10,86.36,,,,,
23,08/25/24 09:30:32 AM,1.20,86.50,,,,,
24,08/25/24 10:30:32 AM,10.73,86.36,,,,,
25,08/25/24 11:30:32 AM,23.36,86.61,,,,,
26,08/25/24 12:30:32 PM,30.30,86.76,,,,,
27,08/25/24 01:30:32 PM,27.69,86.83,,,,,
28,08/25/24 02:30:32 PM,37.89,87.04,,,,,
29,08/25/24 03:30:32 PM,31.53,87.26,,,,,
30,08/25/24 04:30:32 PM,28.16,87.44,,,,,
31,08/25/24 05:30:32 PM,26.22,87.40,,,,,
32,08/25/24 06:30:32 PM,22.37,87.15,,,,,
33,08/25/24 07:30:32 PM,11.52,87.40,,,,,
34,08/25/24 08:30:32 PM,0.39,87.33,,,,,
35,08/25/24 09:30:32 PM,0.10,87.33,,,,,
36,08/25/24 10:30:32 PM,0.08,87.01,,,,,
37,08/25/24 11:30:32 PM,0.07,86.86,,,,,
38,08/26/24 12:30:32 AM,0.05,86.83,,,,,
39,08/26/24 01:30:32 AM,0.05,86.76,,,,,
40,08/26/24 02:30:32 AM,0.05,86.72,,,,,
41,08/26/24 03:30:32 AM,0.07,86.58,,,,,
42,08/26/24 04:30:32 AM,0.05,86.43,,,,,
43,08/26/24 05:30:32 AM,0.05,86.54,,,,,
44,08/26/24 06:30:32 AM,0.05,86.65,,,,,
45,08/26/24 07:30:32 AM,0.05,86.65,,,,,
46,08/26/24 08:30:32 AM,0.05,86.61,,,,,
47,08/26/24 09:30:32 AM,0.62,86.61,,,,,
48,08/26/24 10:30:32 AM,4.14,86.61,,,,,
49,08/26/24 11:30:32 AM,14.94,86.47,,,,,
50,08/26/24 12:30:32 PM,32.67,86.79,,,,,
51,08/26/24 01:30:32 PM,36.55,86.68,,,,,
52,08/26/24 02:30:32 PM,28.61,86.65,,,,,
53,08/26/24 03:30:32 PM,31.19,86.86,,,,,
54,08/26/24 04:30:32 PM,26.29,86.90,,,,,
55,08/26/24 05:30:32 PM,20.79,86.83,,,,,
56,08/26/24 06:30:32 PM,17.08,86.90,,,,,
57,08/26/24 07:30:32 PM,7.88,86.68,,,,,
58,08/26/24 08:30:32 PM,0.25,86.76,,,,,
59,08/26/24 09:30:32 PM,0.09,86.72,,,,,
60,08/26/24 10:30:32 PM,0.08,86.29,,,,,
61,08/26/24 11:30:32 PM,0.05,86.25,,,,,
62,08/27/24 12:30:32 AM,0.04,86.14,,,,,
63,08/27/24 01:30:32 AM,0.04,86.14,,,,,
64,08/27/24 02:30:32 AM,0.04,86.68,,,,,
65,08/27/24 03:30:32 AM,0.03,86.65,,,,,
66,08/27/24 04:30:32 AM,0.03,86.61,,,,,
67,08/27/24 05:30:32 AM,0.03,86.61,,,,,
68,08/27/24 06:30:32 AM,0.02,86.58,,,,,
69,08/27/24 07:30:32 AM,0.02,86.58,,,,,
70,08/27/24 08:30:32 AM,0.15,86.40,,,,,
71,08/27/24 09:30:32 AM,2.90,86.18,,,,,
72,08/27/24 10:30:32 AM,8.73,86.61,,,,,
73,08/27/24 11:30:32 AM,20.68,86.58,,,,,
74,08/27/24 12:30:32 PM,32.93,86.61,,,,,
75,08/27/24 01:30:32 PM,35.97,86.76,,,,,
76,08/27/24 02:30:32 PM,37.94,86.97,,,,,
77,08/27/24 03:30:32 PM,31.07,87.15,,,,,
78,08/27/24 04:30:32 PM,24.83,87.12,,,,,
79,08/27/24 05:30:32 PM,21.03,87.01,,,,,
80,08/27/24 06:30:32 PM,17.60,86.90,,,,,
81,08/27/24 07:30:32 PM,9.29,86.83,,,,,
82,08/27/24 08:30:32 PM,0.46,86.83,,,,,
