"Plot Title: 21909585"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21909585, SEN S/N: 21909585)","Temp, °F (LGR S/N: 21909585, SEN S/N: 21909585)","Expired Sensor Cap (LGR S/N: 21909585)","New Sensor Cap (LGR S/N: 21909585)","Coupler Attached (LGR S/N: 21909585)","Coupler Detached (LGR S/N: 21909585)","Stopped (LGR S/N: 21909585)","End Of File (LGR S/N: 21909585)"
1,08/23/24 11:57:10 AM,10.78,86.94,,,,,,
2,08/23/24 12:57:10 PM,6.86,86.83,,,,,,
3,08/23/24 01:57:10 PM,7.50,86.86,,,,,,
4,08/23/24 02:57:10 PM,9.12,86.90,,,,,,
5,08/23/24 03:57:10 PM,11.13,86.94,,,,,,
6,08/23/24 04:57:10 PM,12.00,87.04,,,,,,
7,08/23/24 05:57:10 PM,9.57,86.94,,,,,,
8,08/23/24 06:57:10 PM,7.34,86.97,,,,,,
9,08/23/24 07:57:10 PM,5.15,86.97,,,,,,
10,08/23/24 08:57:10 PM,4.95,86.94,,,,,,
11,08/23/24 09:57:10 PM,4.43,87.04,,,,,,
12,08/23/24 10:57:10 PM,4.35,86.97,,,,,,
13,08/23/24 11:57:10 PM,4.29,86.97,,,,,,
14,08/24/24 12:57:10 AM,3.87,86.97,,,,,,
15,08/24/24 01:57:10 AM,4.53,86.94,,,,,,
16,08/24/24 02:57:10 AM,4.58,86.86,,,,,,
17,08/24/24 03:57:10 AM,4.50,86.83,,,,,,
18,08/24/24 04:57:10 AM,3.52,86.72,,,,,,
19,08/24/24 05:57:10 AM,3.84,86.36,,,,,,
20,08/24/24 06:57:10 AM,3.59,86.58,,,,,,
21,08/24/24 07:57:10 AM,3.70,86.50,,,,,,
22,08/24/24 08:57:10 AM,4.64,86.65,,,,,,
23,08/24/24 09:57:10 AM,6.04,86.72,,,,,,
24,08/24/24 10:57:10 AM,8.65,86.72,,,,,,
25,08/24/24 11:57:10 AM,10.53,86.72,,,,,,
26,08/24/24 12:57:10 PM,10.57,86.47,,,,,,
27,08/24/24 01:57:10 PM,9.82,86.58,,,,,,
28,08/24/24 02:57:10 PM,9.79,86.58,,,,,,
29,08/24/24 03:57:10 PM,9.87,86.43,,,,,,
30,08/24/24 04:57:10 PM,10.13,86.65,,,,,,
31,08/24/24 05:57:10 PM,9.39,86.68,,,,,,
32,08/24/24 06:57:10 PM,7.54,86.72,,,,,,
33,08/24/24 07:57:10 PM,5.61,86.72,,,,,,
34,08/24/24 08:57:10 PM,4.82,86.76,,,,,,
35,08/24/24 09:57:10 PM,4.92,86.76,,,,,,
36,08/24/24 10:57:10 PM,4.84,86.76,,,,,,
37,08/24/24 11:57:10 PM,4.84,86.72,,,,,,
38,08/25/24 12:57:10 AM,4.81,86.65,,,,,,
39,08/25/24 01:57:10 AM,4.92,86.68,,,,,,
40,08/25/24 02:57:10 AM,5.20,86.72,,,,,,
41,08/25/24 03:57:10 AM,5.38,86.72,,,,,,
42,08/25/24 04:57:10 AM,5.03,86.76,,,,,,
43,08/25/24 05:57:10 AM,5.02,86.61,,,,,,
44,08/25/24 06:57:10 AM,4.89,86.47,,,,,,
45,08/25/24 07:57:10 AM,5.07,86.36,,,,,,
46,08/25/24 08:57:10 AM,5.59,86.40,,,,,,
47,08/25/24 09:57:10 AM,8.09,86.47,,,,,,
48,08/25/24 10:57:10 AM,10.77,86.58,,,,,,
49,08/25/24 11:57:10 AM,10.14,86.72,,,,,,
50,08/25/24 12:57:10 PM,10.84,86.97,,,,,,
51,08/25/24 01:57:10 PM,10.28,87.04,,,,,,
52,08/25/24 02:57:10 PM,9.92,87.01,,,,,,
53,08/25/24 03:57:10 PM,9.31,87.08,,,,,,
54,08/25/24 04:57:10 PM,8.98,87.08,,,,,,
55,08/25/24 05:57:10 PM,8.42,87.12,,,,,,
56,08/25/24 06:57:10 PM,7.35,87.15,,,,,,
57,08/25/24 07:57:10 PM,5.92,86.97,,,,,,
58,08/25/24 08:57:10 PM,5.42,86.83,,,,,,
59,08/25/24 09:57:10 PM,5.27,86.79,,,,,,
60,08/25/24 10:57:10 PM,5.35,86.79,,,,,,
61,08/25/24 11:57:10 PM,5.22,86.79,,,,,,
62,08/26/24 12:57:10 AM,5.39,86.76,,,,,,
63,08/26/24 01:57:10 AM,5.31,86.72,,,,,,
64,08/26/24 02:57:10 AM,5.19,86.72,,,,,,
65,08/26/24 03:57:10 AM,5.11,86.72,,,,,,
66,08/26/24 04:57:10 AM,5.26,86.72,,,,,,
67,08/26/24 05:57:10 AM,5.17,86.68,,,,,,
68,08/26/24 06:57:10 AM,5.24,86.58,,,,,,
69,08/26/24 07:57:10 AM,5.23,86.54,,,,,,
70,08/26/24 08:57:10 AM,5.70,86.54,,,,,,
71,08/26/24 09:57:10 AM,7.07,86.47,,,,,,
72,08/26/24 10:57:10 AM,9.00,86.54,,,,,,
73,08/26/24 11:57:10 AM,10.85,86.54,,,,,,
74,08/26/24 12:57:10 PM,10.76,86.54,,,,,,
75,08/26/24 01:57:10 PM,9.60,86.58,,,,,,
76,08/26/24 02:57:10 PM,9.85,86.47,,,,,,
77,08/26/24 03:57:10 PM,11.62,86.65,,,,,,
78,08/26/24 04:57:10 PM,10.10,86.61,,,,,,
79,08/26/24 05:57:10 PM,8.27,86.68,,,,,,
80,08/26/24 06:57:10 PM,7.31,86.68,,,,,,
81,08/26/24 07:57:10 PM,5.50,86.68,,,,,,
82,08/26/24 08:57:10 PM,5.13,86.61,,,,,,
83,08/26/24 09:57:10 PM,4.54,86.58,,,,,,
84,08/26/24 10:57:10 PM,4.75,86.54,,,,,,
85,08/26/24 11:57:10 PM,4.12,86.29,,,,,,
86,08/27/24 12:57:10 AM,3.93,86.36,,,,,,
87,08/27/24 01:57:10 AM,3.98,86.29,,,,,,
88,08/27/24 02:57:10 AM,4.07,86.43,,,,,,
89,08/27/24 03:57:10 AM,4.25,86.43,,,,,,
90,08/27/24 04:57:10 AM,4.57,86.54,,,,,,
91,08/27/24 05:57:10 AM,4.28,86.54,,,,,,
92,08/27/24 06:57:10 AM,4.63,86.50,,,,,,
93,08/27/24 07:57:10 AM,4.81,86.50,,,,,,
94,08/27/24 08:57:10 AM,7.00,86.54,,,,,,
95,08/27/24 09:57:10 AM,9.63,86.58,,,,,,
96,08/27/24 10:57:10 AM,10.96,86.65,,,,,,
97,08/27/24 11:57:10 AM,10.99,86.72,,,,,,
98,08/27/24 12:57:10 PM,10.60,86.76,,,,,,
99,08/27/24 01:57:10 PM,10.42,87.04,,,,,,
100,08/27/24 02:57:10 PM,10.83,87.04,,,,,,
101,08/27/24 03:57:10 PM,10.68,87.04,,,,,,
102,08/27/24 04:57:10 PM,10.31,86.94,,,,,,
103,08/27/24 05:57:10 PM,8.77,86.72,,,,,,
104,08/27/24 06:57:10 PM,7.25,86.65,,,,,,
105,08/27/24 07:57:10 PM,5.03,86.58,,,,,,
106,08/27/24 08:57:10 PM,4.50,86.54,,,,,,
107,08/27/24 09:57:10 PM,4.37,86.47,,,,,,
108,08/27/24 10:57:10 PM,4.11,86.43,,,,,,
109,08/27/24 11:57:10 PM,4.34,86.54,,,,,,
110,08/28/24 12:57:10 AM,4.21,86.58,,,,,,
111,08/28/24 01:57:10 AM,4.18,86.58,,,,,,
112,08/28/24 02:57:10 AM,4.10,86.61,,,,,,
113,08/28/24 03:57:10 AM,3.83,86.58,,,,,,
114,08/28/24 04:57:10 AM,3.43,86.58,,,,,,
115,08/28/24 05:57:10 AM,3.41,86.58,,,,,,
116,08/28/24 06:57:10 AM,3.82,86.58,,,,,,
117,08/28/24 07:57:10 AM,4.21,86.54,,,,,,
118,08/28/24 08:57:10 AM,5.49,86.54,,,,,,
119,08/28/24 09:57:10 AM,8.28,86.54,,,,,,
120,08/28/24 10:57:10 AM,6.33,86.40,,,,,,
121,08/28/24 11:57:10 AM,13.62,86.40,,,,,,
122,08/28/24 12:57:10 PM,11.95,86.76,,,,,,
123,08/28/24 01:57:10 PM,10.85,86.86,,,,,,
124,08/28/24 02:57:10 PM,11.15,87.08,,,,,,
125,08/28/24 03:57:10 PM,10.18,87.04,,,,,,
126,08/28/24 04:57:10 PM,10.12,87.04,,,,,,
127,08/28/24 05:57:10 PM,9.04,86.94,,,,,,
128,08/28/24 06:57:10 PM,7.69,86.90,,,,,,
129,08/28/24 07:57:10 PM,4.82,86.79,,,,,,
130,08/28/24 08:57:10 PM,4.48,87.12,,,,,,
131,08/28/24 09:57:10 PM,4.84,87.15,,,,,,
132,08/28/24 10:57:10 PM,4.17,87.12,,,,,,
133,08/28/24 11:57:10 PM,3.86,86.86,,,,,,
134,08/29/24 12:57:10 AM,4.00,87.01,,,,,,
135,08/29/24 01:57:10 AM,4.09,87.04,,,,,,
136,08/29/24 02:57:10 AM,4.09,87.01,,,,,,
137,08/29/24 03:57:10 AM,3.82,86.97,,,,,,
138,08/29/24 04:57:10 AM,3.94,86.94,,,,,,
139,08/29/24 05:57:10 AM,3.87,86.76,,,,,,
140,08/29/24 06:57:10 AM,4.07,86.76,,,,,,
141,08/29/24 07:57:10 AM,4.27,86.79,,,,,,
142,08/29/24 08:57:10 AM,5.38,86.76,,,,,,
143,08/29/24 09:57:10 AM,7.33,86.58,,,,,,
144,08/29/24 10:57:10 AM,9.91,86.61,,,,,,
145,08/29/24 11:57:10 AM,9.28,86.83,,,,,,
146,08/29/24 12:57:10 PM,9.45,87.15,,,,,,
147,08/29/24 01:57:10 PM,10.55,87.30,,,,,,
148,08/29/24 02:57:10 PM,9.46,87.22,,,,,,
149,08/29/24 03:57:10 PM,10.30,87.15,,,,,,
150,08/29/24 04:57:10 PM,9.68,86.94,,,,,,
151,08/29/24 05:57:10 PM,8.69,86.79,,,,,,
152,08/29/24 06:57:10 PM,7.12,86.76,,,,,,
153,08/29/24 07:57:10 PM,4.94,86.68,,,,,,
154,08/29/24 08:57:10 PM,4.36,86.83,,,,,,
155,08/29/24 09:57:10 PM,4.43,86.94,,,,,,
156,08/29/24 10:57:10 PM,4.57,86.83,,,,,,
157,08/29/24 11:57:10 PM,4.31,86.86,,,,,,
158,08/30/24 12:57:10 AM,3.87,86.86,,,,,,
159,08/30/24 01:57:10 AM,4.62,86.79,,,,,,
160,08/30/24 02:57:10 AM,4.43,86.79,,,,,,
161,08/30/24 03:57:10 AM,4.25,86.79,,,,,,
162,08/30/24 04:57:10 AM,4.07,86.79,,,,,,
163,08/30/24 05:57:10 AM,4.40,86.76,,,,,,
164,08/30/24 06:57:10 AM,4.47,86.72,,,,,,
165,08/30/24 07:57:10 AM,4.70,86.72,,,,,,
166,08/30/24 08:57:10 AM,6.11,86.72,,,,,,
