"Plot Title: 21909582"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21909582, SEN S/N: 21909582)","Temp, °F (LGR S/N: 21909582, SEN S/N: 21909582)","Coupler Detached (LGR S/N: 21909582)","Coupler Attached (LGR S/N: 21909582)","Host Connected (LGR S/N: 21909582)","Stopped (LGR S/N: 21909582)","End Of File (LGR S/N: 21909582)"
1,04/17/24 10:50:08 AM,8.72,72.57,,,,,
2,04/17/24 10:50:33 AM,,,Logged,,,,
3,04/17/24 11:50:08 AM,9.04,71.71,,,,,
4,04/17/24 11:56:48 AM,,,,Logged,,,
5,04/17/24 11:56:53 AM,,,Logged,,Logged,,
6,04/17/24 12:50:08 PM,8.99,72.18,,,,,
7,04/17/24 01:50:08 PM,9.00,71.96,,,,,
8,04/17/24 02:50:08 PM,9.01,71.78,,,,,
9,04/17/24 03:50:08 PM,9.00,71.71,,,,,
10,04/17/24 04:50:08 PM,9.01,71.56,,,,,
11,04/17/24 05:50:08 PM,9.03,71.49,,,,,
12,04/17/24 06:50:08 PM,9.04,71.38,,,,,
13,04/17/24 07:50:08 PM,9.04,71.35,,,,,
14,04/17/24 08:50:08 PM,9.05,71.35,,,,,
15,04/17/24 09:50:08 PM,9.05,71.35,,,,,
16,04/17/24 10:50:08 PM,9.05,71.31,,,,,
17,04/17/24 11:50:08 PM,9.05,71.31,,,,,
18,04/18/24 12:50:08 AM,9.05,71.31,,,,,
19,04/18/24 01:50:08 AM,9.04,71.35,,,,,
20,04/18/24 02:50:08 AM,9.03,71.35,,,,,
21,04/18/24 03:50:08 AM,9.05,71.35,,,,,
22,04/18/24 04:50:08 AM,9.05,71.35,,,,,
23,04/18/24 05:50:08 AM,9.05,71.35,,,,,
24,04/18/24 06:50:08 AM,9.06,71.28,,,,,
25,04/18/24 07:50:08 AM,9.06,71.24,,,,,
26,04/18/24 08:50:08 AM,9.08,71.24,,,,,
27,04/18/24 09:50:08 AM,9.08,71.24,,,,,
28,04/18/24 10:50:08 AM,9.07,71.28,,,,,
29,04/18/24 11:50:08 AM,9.06,71.38,,,,,
30,04/18/24 12:50:08 PM,9.03,71.67,,,,,
31,04/18/24 01:50:08 PM,9.01,71.92,,,,,
32,04/18/24 02:50:08 PM,8.99,72.07,,,,,
33,04/18/24 03:50:08 PM,8.98,72.21,,,,,
34,04/18/24 04:50:08 PM,8.98,72.18,,,,,
35,04/18/24 05:50:08 PM,8.97,72.10,,,,,
