"Plot Title: 21909581"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21909581, SEN S/N: 21909581)","Temp, °F (LGR S/N: 21909581, SEN S/N: 21909581)","Coupler Detached (LGR S/N: 21909581)","Coupler Attached (LGR S/N: 21909581)","Stopped (LGR S/N: 21909581)","End Of File (LGR S/N: 21909581)"
1,04/19/24 03:22:36 PM,8.72,72.36,,,,
2,04/19/24 03:23:03 PM,,,Logged,,,
3,04/19/24 04:22:36 PM,8.89,72.32,,,,
4,04/19/24 05:22:36 PM,9.15,69.76,,,,
5,04/19/24 06:22:36 PM,9.27,68.00,,,,
6,04/19/24 07:22:36 PM,9.43,66.34,,,,
7,04/19/24 08:22:36 PM,9.67,64.04,,,,
8,04/19/24 09:22:36 PM,9.94,61.59,,,,
9,04/19/24 10:22:36 PM,10.19,59.36,,,,
10,04/19/24 11:22:36 PM,10.41,57.45,,,,
11,04/20/24 12:22:36 AM,10.61,55.83,,,,
12,04/20/24 01:22:36 AM,10.78,54.54,,,,
13,04/20/24 02:22:36 AM,10.93,53.42,,,,
14,04/20/24 03:22:36 AM,11.04,52.52,,,,
15,04/20/24 04:22:36 AM,11.14,51.76,,,,
16,04/20/24 05:22:36 AM,11.22,51.19,,,,
17,04/20/24 06:22:36 AM,11.28,50.72,,,,
18,04/20/24 07:22:36 AM,11.34,50.32,,,,
19,04/20/24 08:22:36 AM,11.38,50.00,,,,
20,04/20/24 09:22:36 AM,11.39,49.89,,,,
21,04/20/24 10:22:36 AM,11.32,50.25,,,,
22,04/20/24 11:22:36 AM,11.14,51.22,,,,
23,04/20/24 12:22:36 PM,10.54,54.36,,,,
24,04/20/24 01:22:36 PM,9.66,61.05,,,,
25,04/20/24 02:22:36 PM,9.15,66.70,,,,
26,04/20/24 03:22:36 PM,8.98,69.19,,,,
27,04/20/24 04:22:36 PM,8.92,70.12,,,,
28,04/20/24 05:22:36 PM,8.77,71.24,,,,
29,04/20/24 06:22:36 PM,8.56,73.72,,,,
30,04/20/24 07:22:36 PM,8.62,74.01,,,,
31,04/20/24 08:22:36 PM,8.87,71.64,,,,
32,04/20/24 09:22:36 PM,9.22,67.86,,,,
33,04/20/24 10:22:36 PM,9.67,63.36,,,,
34,04/20/24 11:22:36 PM,10.17,58.89,,,,
35,04/21/24 12:22:36 AM,10.66,55.00,,,,
36,04/21/24 01:22:36 AM,11.12,51.62,,,,
37,04/21/24 02:22:36 AM,11.55,48.67,,,,
38,04/21/24 03:22:36 AM,11.95,46.15,,,,
39,04/21/24 04:22:36 AM,12.31,43.99,,,,
40,04/21/24 05:22:36 AM,12.63,42.08,,,,
41,04/21/24 06:22:36 AM,12.95,40.35,,,,
42,04/21/24 07:22:36 AM,13.21,39.02,,,,
43,04/21/24 08:22:36 AM,13.32,38.48,,,,
44,04/21/24 09:22:36 AM,13.04,39.42,,,,
45,04/21/24 10:22:36 AM,12.15,43.63,,,,
46,04/21/24 11:22:36 AM,11.00,50.29,,,,
47,04/21/24 12:22:36 PM,10.08,57.42,,,,
48,04/21/24 01:22:36 PM,9.52,63.03,,,,
49,04/21/24 02:22:36 PM,9.24,66.24,,,,
50,04/21/24 03:22:36 PM,9.35,66.24,,,,
51,04/21/24 04:22:36 PM,9.35,66.34,,,,
52,04/21/24 05:22:36 PM,9.36,66.27,,,,
53,04/21/24 06:22:36 PM,9.41,66.06,,,,
54,04/21/24 07:22:36 PM,9.29,66.78,,,,
55,04/21/24 08:22:36 PM,9.14,68.04,,,,
56,04/21/24 09:22:36 PM,9.14,68.32,,,,
57,04/21/24 10:22:36 PM,9.15,68.18,,,,
58,04/21/24 11:22:36 PM,9.16,68.00,,,,
59,04/22/24 12:22:36 AM,9.18,67.82,,,,
60,04/22/24 01:22:36 AM,9.20,67.64,,,,
61,04/22/24 02:22:36 AM,9.22,67.46,,,,
62,04/22/24 03:22:36 AM,9.25,67.24,,,,
63,04/22/24 04:22:36 AM,9.27,66.99,,,,
64,04/22/24 05:22:36 AM,9.31,66.74,,,,
65,04/22/24 06:22:36 AM,9.34,66.49,,,,
66,04/22/24 07:22:36 AM,9.37,66.24,,,,
67,04/22/24 08:22:36 AM,9.41,66.06,,,,
68,04/22/24 09:22:36 AM,9.39,66.13,,,,
69,04/22/24 10:22:36 AM,9.33,66.63,,,,
70,04/22/24 11:22:36 AM,9.30,67.06,,,,
71,04/22/24 12:22:36 PM,9.29,67.35,,,,
72,04/22/24 01:22:36 PM,9.27,67.50,,,,
73,04/22/24 02:22:36 PM,9.26,67.57,,,,
74,04/22/24 03:22:36 PM,9.25,67.60,,,,
75,04/22/24 04:22:36 PM,9.25,67.60,,,,
76,04/22/24 05:22:36 PM,9.27,67.50,,,,
77,04/22/24 06:22:36 PM,9.29,67.42,,,,
78,04/22/24 07:22:36 PM,9.30,67.35,,,,
79,04/22/24 08:22:36 PM,9.31,67.28,,,,
80,04/22/24 09:22:36 PM,9.33,67.17,,,,
81,04/22/24 10:22:36 PM,9.33,67.14,,,,
82,04/22/24 11:22:36 PM,9.33,67.14,,,,
83,04/23/24 12:22:36 AM,9.33,67.10,,,,
84,04/23/24 01:22:36 AM,9.34,67.06,,,,
85,04/23/24 02:22:36 AM,9.36,66.99,,,,
86,04/23/24 03:22:36 AM,9.37,66.85,,,,
87,04/23/24 04:22:36 AM,9.41,66.70,,,,
88,04/23/24 05:22:36 AM,9.42,66.52,,,,
89,04/23/24 06:22:36 AM,9.45,66.34,,,,
90,04/23/24 07:22:36 AM,9.47,66.20,,,,
91,04/23/24 08:22:36 AM,9.48,66.09,,,,
92,04/23/24 09:22:36 AM,9.47,66.09,,,,
93,04/23/24 10:22:36 AM,9.44,66.31,,,,
94,04/23/24 11:22:36 AM,9.39,66.67,,,,
