"Plot Title: 21909583"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21909583, SEN S/N: 21909583)","Temp, °F (LGR S/N: 21909583, SEN S/N: 21909583)","Coupler Detached (LGR S/N: 21909583)","Coupler Attached (LGR S/N: 21909583)","Stopped (LGR S/N: 21909583)","End Of File (LGR S/N: 21909583)"
1,04/17/24 12:30:32 PM,8.70,74.01,,,,
2,04/17/24 12:30:37 PM,,,Logged,,,
3,04/17/24 01:30:32 PM,8.97,72.10,,,,
4,04/17/24 02:30:32 PM,9.02,71.64,,,,
5,04/17/24 03:30:32 PM,9.01,71.64,,,,
6,04/17/24 04:30:32 PM,9.03,71.35,,,,
7,04/17/24 05:30:32 PM,9.04,71.28,,,,
8,04/17/24 06:30:32 PM,9.05,71.24,,,,
9,04/17/24 07:30:32 PM,9.06,71.13,,,,
10,04/17/24 08:30:32 PM,9.06,71.13,,,,
11,04/17/24 09:30:32 PM,9.06,71.13,,,,
12,04/17/24 10:30:32 PM,9.07,71.06,,,,
13,04/17/24 11:30:32 PM,9.06,71.10,,,,
14,04/18/24 12:30:32 AM,9.07,71.02,,,,
15,04/18/24 01:30:32 AM,9.06,71.06,,,,
16,04/18/24 02:30:32 AM,9.06,71.06,,,,
17,04/18/24 03:30:32 AM,9.06,71.02,,,,
18,04/18/24 04:30:32 AM,9.07,71.02,,,,
19,04/18/24 05:30:32 AM,9.07,71.02,,,,
20,04/18/24 06:30:32 AM,9.08,70.99,,,,
21,04/18/24 07:30:32 AM,9.09,70.95,,,,
22,04/18/24 08:30:32 AM,9.08,70.99,,,,
23,04/18/24 09:30:32 AM,9.09,71.02,,,,
24,04/18/24 10:30:32 AM,9.08,71.06,,,,
25,04/18/24 11:30:32 AM,9.05,71.31,,,,
26,04/18/24 12:30:32 PM,9.03,71.56,,,,
27,04/18/24 01:30:32 PM,9.02,71.82,,,,
28,04/18/24 02:30:32 PM,9.00,72.03,,,,
29,04/18/24 03:30:32 PM,8.97,72.18,,,,
30,04/18/24 04:30:32 PM,8.98,72.21,,,,
31,04/18/24 05:30:32 PM,8.97,72.18,,,,
32,04/18/24 06:30:32 PM,8.97,72.14,,,,
33,04/18/24 07:30:32 PM,8.98,72.07,,,,
34,04/18/24 08:30:32 PM,8.98,71.96,,,,
35,04/18/24 09:30:32 PM,9.01,71.85,,,,
36,04/18/24 10:30:32 PM,9.02,71.78,,,,
37,04/18/24 11:30:32 PM,9.02,71.71,,,,
38,04/19/24 12:30:32 AM,9.02,71.64,,,,
39,04/19/24 01:30:32 AM,9.03,71.60,,,,
40,04/19/24 02:30:32 AM,9.03,71.53,,,,
41,04/19/24 03:30:32 AM,9.03,71.46,,,,
42,04/19/24 04:30:32 AM,9.04,71.38,,,,
43,04/19/24 05:30:32 AM,9.04,71.35,,,,
44,04/19/24 06:30:32 AM,9.06,71.31,,,,
45,04/19/24 07:30:32 AM,9.07,71.24,,,,
46,04/19/24 08:30:32 AM,9.07,71.17,,,,
47,04/19/24 09:30:32 AM,9.08,71.13,,,,
48,04/19/24 10:30:32 AM,9.07,71.13,,,,
49,04/19/24 11:30:32 AM,9.07,71.17,,,,
50,04/19/24 12:30:32 PM,9.06,71.28,,,,
51,04/19/24 01:30:32 PM,9.05,71.35,,,,
52,04/19/24 02:30:32 PM,9.02,71.56,,,,
53,04/19/24 03:30:32 PM,8.96,72.00,,,,
54,04/19/24 04:30:32 PM,8.90,72.50,,,,
55,04/19/24 05:30:32 PM,9.16,69.51,,,,
56,04/19/24 06:30:32 PM,9.28,68.14,,,,
57,04/19/24 07:30:32 PM,9.46,66.09,,,,
58,04/19/24 08:30:32 PM,9.74,63.57,,,,
59,04/19/24 09:30:32 PM,10.01,61.09,,,,
60,04/19/24 10:30:32 PM,10.26,58.93,,,,
61,04/19/24 11:30:32 PM,10.49,57.02,,,,
62,04/20/24 12:30:32 AM,10.68,55.47,,,,
63,04/20/24 01:30:32 AM,10.84,54.21,,,,
64,04/20/24 02:30:32 AM,10.99,53.17,,,,
65,04/20/24 03:30:32 AM,11.11,52.27,,,,
66,04/20/24 04:30:32 AM,11.21,51.55,,,,
67,04/20/24 05:30:32 AM,11.28,51.01,,,,
68,04/20/24 06:30:32 AM,11.33,50.58,,,,
69,04/20/24 07:30:32 AM,11.39,50.18,,,,
70,04/20/24 08:30:32 AM,11.43,49.89,,,,
71,04/20/24 09:30:32 AM,11.43,49.93,,,,
72,04/20/24 10:30:32 AM,11.34,50.54,,,,
73,04/20/24 11:30:32 AM,11.13,51.87,,,,
74,04/20/24 12:30:32 PM,10.47,56.55,,,,
75,04/20/24 01:30:32 PM,9.57,64.36,,,,
76,04/20/24 02:30:32 PM,9.06,69.48,,,,
77,04/20/24 03:30:32 PM,8.92,71.02,,,,
78,04/20/24 04:30:32 PM,8.89,71.46,,,,
79,04/20/24 05:30:32 PM,8.73,73.00,,,,
80,04/20/24 06:30:32 PM,8.53,75.60,,,,
81,04/20/24 07:30:32 PM,8.59,74.70,,,,
82,04/20/24 08:30:32 PM,8.88,71.49,,,,
