"Plot Title: 21909585"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 21909585, SEN S/N: 21909585)","Temp, °F (LGR S/N: 21909585, SEN S/N: 21909585)","Coupler Detached (LGR S/N: 21909585)","Coupler Attached (LGR S/N: 21909585)","Stopped (LGR S/N: 21909585)","End Of File (LGR S/N: 21909585)"
1,04/19/24 02:57:10 PM,8.71,72.68,,,,
2,04/19/24 02:57:18 PM,,,Logged,,,
3,04/19/24 03:57:10 PM,8.90,72.07,,,,
4,04/19/24 04:57:10 PM,8.95,71.92,,,,
5,04/19/24 05:57:10 PM,9.11,69.58,,,,
6,04/19/24 06:57:10 PM,9.27,67.93,,,,
7,04/19/24 07:57:10 PM,9.47,65.73,,,,
8,04/19/24 08:57:10 PM,9.74,63.14,,,,
9,04/19/24 09:57:10 PM,10.01,60.69,,,,
10,04/19/24 10:57:10 PM,10.25,58.57,,,,
11,04/19/24 11:57:10 PM,10.47,56.73,,,,
12,04/20/24 12:57:10 AM,10.67,55.26,,,,
13,04/20/24 01:57:10 AM,10.83,54.00,,,,
14,04/20/24 02:57:10 AM,10.96,52.99,,,,
15,04/20/24 03:57:10 AM,11.07,52.12,,,,
16,04/20/24 04:57:10 AM,11.16,51.44,,,,
17,04/20/24 05:57:10 AM,11.23,50.94,,,,
18,04/20/24 06:57:10 AM,11.31,50.50,,,,
19,04/20/24 07:57:10 AM,11.35,50.11,,,,
20,04/20/24 08:57:10 AM,11.37,49.86,,,,
21,04/20/24 09:57:10 AM,11.35,50.00,,,,
22,04/20/24 10:57:10 AM,11.24,50.72,,,,
23,04/20/24 11:57:10 AM,10.90,52.66,,,,
24,04/20/24 12:57:10 PM,10.04,58.78,,,,
25,04/20/24 01:57:10 PM,9.30,65.80,,,,
26,04/20/24 02:57:10 PM,8.98,69.44,,,,
27,04/20/24 03:57:10 PM,8.86,70.70,,,,
28,04/20/24 04:57:10 PM,8.82,71.24,,,,
29,04/20/24 05:57:10 PM,8.58,73.65,,,,
30,04/20/24 06:57:10 PM,8.51,75.24,,,,
31,04/20/24 07:57:10 PM,8.65,73.76,,,,
32,04/20/24 08:57:10 PM,8.95,70.41,,,,
33,04/20/24 09:57:10 PM,9.35,66.09,,,,
34,04/20/24 10:57:10 PM,9.83,61.45,,,,
35,04/20/24 11:57:10 PM,10.34,57.16,,,,
36,04/21/24 12:57:10 AM,10.83,53.42,,,,
37,04/21/24 01:57:10 AM,11.30,50.14,,,,
38,04/21/24 02:57:10 AM,11.71,47.34,,,,
39,04/21/24 03:57:10 AM,12.11,44.92,,,,
40,04/21/24 04:57:10 AM,12.45,42.87,,,,
41,04/21/24 05:57:10 AM,12.80,41.00,,,,
42,04/21/24 06:57:10 AM,13.11,39.42,,,,
43,04/21/24 07:57:10 AM,13.30,38.44,,,,
44,04/21/24 08:57:10 AM,13.31,38.41,,,,
45,04/21/24 09:57:10 AM,12.64,41.58,,,,
46,04/21/24 10:57:10 AM,11.53,47.91,,,,
47,04/21/24 11:57:10 AM,10.46,55.69,,,,
48,04/21/24 12:57:10 PM,9.69,62.24,,,,
49,04/21/24 01:57:10 PM,9.28,66.42,,,,
50,04/21/24 02:57:10 PM,9.27,67.24,,,,
51,04/21/24 03:57:10 PM,9.29,67.03,,,,
52,04/21/24 04:57:10 PM,9.29,66.78,,,,
53,04/21/24 05:57:10 PM,9.30,66.45,,,,
54,04/21/24 06:57:10 PM,9.33,66.42,,,,
55,04/21/24 07:57:10 PM,9.25,67.28,,,,
56,04/21/24 08:57:10 PM,9.14,68.43,,,,
57,04/21/24 09:57:10 PM,9.14,68.32,,,,
58,04/21/24 10:57:10 PM,9.17,68.11,,,,
59,04/21/24 11:57:10 PM,9.17,67.93,,,,
60,04/22/24 12:57:10 AM,9.19,67.75,,,,
61,04/22/24 01:57:10 AM,9.21,67.57,,,,
62,04/22/24 02:57:10 AM,9.23,67.35,,,,
63,04/22/24 03:57:10 AM,9.26,67.17,,,,
64,04/22/24 04:57:10 AM,9.28,66.92,,,,
65,04/22/24 05:57:10 AM,9.33,66.67,,,,
66,04/22/24 06:57:10 AM,9.37,66.42,,,,
67,04/22/24 07:57:10 AM,9.40,66.20,,,,
68,04/22/24 08:57:10 AM,9.41,66.06,,,,
69,04/22/24 09:57:10 AM,9.40,66.16,,,,
70,04/22/24 10:57:10 AM,9.35,66.70,,,,
71,04/22/24 11:57:10 AM,9.31,67.14,,,,
72,04/22/24 12:57:10 PM,9.29,67.35,,,,
73,04/22/24 01:57:10 PM,9.28,67.46,,,,
74,04/22/24 02:57:10 PM,9.28,67.53,,,,
75,04/22/24 03:57:10 PM,9.27,67.57,,,,
76,04/22/24 04:57:10 PM,9.28,67.57,,,,
77,04/22/24 05:57:10 PM,9.29,67.46,,,,
78,04/22/24 06:57:10 PM,9.29,67.39,,,,
79,04/22/24 07:57:10 PM,9.30,67.32,,,,
80,04/22/24 08:57:10 PM,9.33,67.28,,,,
81,04/22/24 09:57:10 PM,9.35,67.17,,,,
82,04/22/24 10:57:10 PM,9.35,67.14,,,,
83,04/22/24 11:57:10 PM,9.35,67.10,,,,
84,04/23/24 12:57:10 AM,9.36,67.10,,,,
85,04/23/24 01:57:10 AM,9.37,67.03,,,,
86,04/23/24 02:57:10 AM,9.37,66.96,,,,
87,04/23/24 03:57:10 AM,9.40,66.81,,,,
88,04/23/24 04:57:10 AM,9.41,66.67,,,,
89,04/23/24 05:57:10 AM,9.44,66.49,,,,
90,04/23/24 06:57:10 AM,9.47,66.31,,,,
91,04/23/24 07:57:10 AM,9.48,66.16,,,,
92,04/23/24 08:57:10 AM,9.49,66.09,,,,
93,04/23/24 09:57:10 AM,9.48,66.13,,,,
94,04/23/24 10:57:10 AM,9.44,66.34,,,,
95,04/23/24 11:57:10 AM,9.38,66.74,,,,
96,04/23/24 12:57:10 PM,9.33,67.14,,,,
97,04/23/24 01:57:10 PM,9.30,67.46,,,,
98,04/23/24 02:57:10 PM,9.27,67.68,,,,
99,04/23/24 03:57:10 PM,9.27,67.78,,,,
100,04/23/24 04:57:10 PM,9.26,67.78,,,,
101,04/23/24 05:57:10 PM,9.27,67.75,,,,
102,04/23/24 06:57:10 PM,9.30,67.53,,,,
103,04/23/24 07:57:10 PM,9.42,65.88,,,,
104,04/23/24 08:57:10 PM,9.65,64.11,,,,
105,04/23/24 09:57:10 PM,9.79,63.03,,,,
106,04/23/24 10:57:10 PM,9.87,62.35,,,,
107,04/23/24 11:57:10 PM,9.92,61.92,,,,
108,04/24/24 12:57:10 AM,9.96,61.59,,,,
109,04/24/24 01:57:10 AM,9.98,61.38,,,,
110,04/24/24 02:57:10 AM,9.98,61.20,,,,
111,04/24/24 03:57:10 AM,10.39,57.34,,,,
112,04/24/24 04:57:10 AM,10.87,54.90,,,,
113,04/24/24 05:57:10 AM,11.28,51.01,,,,
114,04/24/24 06:57:10 AM,9.25,48.52,,,,
115,04/24/24 07:57:10 AM,9.38,44.96,,,,
116,04/24/24 08:57:10 AM,12.25,41.47,,,,
117,04/24/24 09:57:10 AM,11.98,44.53,,,,
118,04/24/24 10:57:10 AM,9.46,45.57,,,,
119,04/24/24 11:57:10 AM,9.22,46.26,,,,
120,04/24/24 12:57:10 PM,11.96,46.83,,,,
121,04/24/24 01:57:10 PM,11.54,51.33,,,,
122,04/24/24 02:57:10 PM,10.76,57.92,,,,
123,04/24/24 03:57:10 PM,10.19,63.43,,,,
124,04/24/24 04:57:10 PM,9.69,67.89,,,,
125,04/24/24 05:57:10 PM,8.52,77.14,,,,
126,04/24/24 06:57:10 PM,8.04,81.97,,,,
127,04/24/24 07:57:10 PM,7.92,83.26,,,,
128,04/24/24 08:57:10 PM,7.89,83.59,,,,
129,04/24/24 09:57:10 PM,7.87,83.84,,,,
130,04/24/24 10:57:10 PM,7.89,83.77,,,,
131,04/24/24 11:57:10 PM,7.91,83.52,,,,
132,04/25/24 12:57:10 AM,7.90,83.52,,,,
133,04/25/24 01:57:10 AM,7.91,83.34,,,,
134,04/25/24 02:57:10 AM,7.92,83.08,,,,
135,04/25/24 03:57:10 AM,7.96,82.76,,,,
136,04/25/24 04:57:10 AM,7.98,82.51,,,,
137,04/25/24 05:57:10 AM,7.99,82.36,,,,
138,04/25/24 06:57:10 AM,8.00,82.26,,,,
139,04/25/24 07:57:10 AM,8.01,82.18,,,,
140,04/25/24 08:57:10 AM,7.95,82.98,,,,
141,04/25/24 09:57:10 AM,7.89,83.91,,,,
142,04/25/24 10:57:10 AM,7.87,84.34,,,,
143,04/25/24 11:57:10 AM,7.86,84.63,,,,
144,04/25/24 12:57:10 PM,7.86,84.74,,,,
145,04/25/24 01:57:10 PM,7.84,84.81,,,,
146,04/25/24 02:57:10 PM,7.84,84.78,,,,
147,04/25/24 03:57:10 PM,7.83,84.70,,,,
148,04/25/24 04:57:10 PM,7.84,84.56,,,,
149,04/25/24 05:57:10 PM,7.88,84.16,,,,
150,04/25/24 06:57:10 PM,7.89,83.95,,,,
151,04/25/24 07:57:10 PM,7.90,83.84,,,,
152,04/25/24 08:57:10 PM,7.92,83.62,,,,
153,04/25/24 09:57:10 PM,7.93,83.44,,,,
154,04/25/24 10:57:10 PM,7.93,83.34,,,,
155,04/25/24 11:57:10 PM,7.96,83.19,,,,
156,04/26/24 12:57:10 AM,7.97,83.08,,,,
157,04/26/24 01:57:10 AM,7.98,82.87,,,,
158,04/26/24 02:57:10 AM,7.98,82.69,,,,
159,04/26/24 03:57:10 AM,7.98,82.58,,,,
160,04/26/24 04:57:10 AM,8.01,82.44,,,,
161,04/26/24 05:57:10 AM,7.99,82.36,,,,
162,04/26/24 06:57:10 AM,8.01,82.33,,,,
163,04/26/24 07:57:10 AM,8.00,82.36,,,,
164,04/26/24 08:57:10 AM,7.93,83.05,,,,
165,04/26/24 09:57:10 AM,7.92,83.66,,,,
166,04/26/24 10:57:10 AM,7.69,84.27,,,,
167,04/26/24 11:57:10 AM,7.56,83.91,,,,
168,04/26/24 12:57:10 PM,7.91,84.06,,,,
169,04/26/24 01:57:10 PM,8.00,84.16,,,,
170,04/26/24 02:57:10 PM,7.99,84.34,,,,
171,04/26/24 03:57:10 PM,8.33,84.52,,,,
172,04/26/24 04:57:10 PM,8.46,84.52,,,,
173,04/26/24 05:57:10 PM,8.43,84.49,,,,
174,04/26/24 06:57:10 PM,8.26,84.63,,,,
175,04/26/24 07:57:10 PM,8.01,84.67,,,,
176,04/26/24 08:57:10 PM,7.64,84.38,,,,
177,04/26/24 09:57:10 PM,7.79,84.27,,,,
178,04/26/24 10:57:10 PM,7.65,84.13,,,,
179,04/26/24 11:57:10 PM,7.60,83.91,,,,
180,04/27/24 12:57:10 AM,7.49,83.80,,,,
181,04/27/24 01:57:10 AM,7.42,83.73,,,,
182,04/27/24 02:57:10 AM,7.39,83.70,,,,
183,04/27/24 03:57:10 AM,7.10,83.70,,,,
184,04/27/24 04:57:10 AM,6.85,83.62,,,,
185,04/27/24 05:57:10 AM,6.82,83.55,,,,
186,04/27/24 06:57:10 AM,6.97,83.59,,,,
187,04/27/24 07:57:10 AM,7.35,83.70,,,,
188,04/27/24 08:57:10 AM,7.46,83.73,,,,
189,04/27/24 09:57:10 AM,7.60,83.73,,,,
190,04/27/24 10:57:10 AM,7.87,83.73,,,,
191,04/27/24 11:57:10 AM,7.96,83.77,,,,
192,04/27/24 12:57:10 PM,8.06,83.88,,,,
193,04/27/24 01:57:10 PM,8.20,83.98,,,,
194,04/27/24 02:57:10 PM,8.16,84.06,,,,
195,04/27/24 03:57:10 PM,8.40,84.20,,,,
196,04/27/24 04:57:10 PM,8.62,84.42,,,,
197,04/27/24 05:57:10 PM,8.29,84.24,,,,
198,04/27/24 06:57:10 PM,8.23,84.42,,,,
199,04/27/24 07:57:10 PM,8.24,84.56,,,,
200,04/27/24 08:57:10 PM,7.92,84.31,,,,
201,04/27/24 09:57:10 PM,7.71,84.02,,,,
202,04/27/24 10:57:10 PM,7.59,83.98,,,,
203,04/27/24 11:57:10 PM,7.56,83.88,,,,
204,04/28/24 12:57:10 AM,7.69,83.77,,,,
205,04/28/24 01:57:10 AM,7.53,83.73,,,,
206,04/28/24 02:57:10 AM,7.54,83.70,,,,
207,04/28/24 03:57:10 AM,7.60,83.70,,,,
208,04/28/24 04:57:10 AM,7.50,83.66,,,,
209,04/28/24 05:57:10 AM,7.43,83.62,,,,
210,04/28/24 06:57:10 AM,7.45,83.62,,,,
211,04/28/24 07:57:10 AM,7.23,83.66,,,,
212,04/28/24 08:57:10 AM,7.52,83.73,,,,
213,04/28/24 09:57:10 AM,7.74,83.73,,,,
214,04/28/24 10:57:10 AM,7.87,83.80,,,,
215,04/28/24 11:57:10 AM,8.00,83.84,,,,
216,04/28/24 12:57:10 PM,8.07,83.88,,,,
217,04/28/24 01:57:10 PM,8.23,83.95,,,,
218,04/28/24 02:57:10 PM,8.34,84.06,,,,
219,04/28/24 03:57:10 PM,8.39,84.20,,,,
220,04/28/24 04:57:10 PM,8.36,84.20,,,,
221,04/28/24 05:57:10 PM,8.29,84.42,,,,
222,04/28/24 06:57:10 PM,7.95,84.60,,,,
223,04/28/24 07:57:10 PM,7.92,84.56,,,,
224,04/28/24 08:57:10 PM,7.96,84.49,,,,
225,04/28/24 09:57:10 PM,7.68,84.42,,,,
226,04/28/24 10:57:10 PM,7.65,84.34,,,,
227,04/28/24 11:57:10 PM,7.63,84.24,,,,
228,04/29/24 12:57:10 AM,7.64,84.13,,,,
229,04/29/24 01:57:10 AM,7.55,84.09,,,,
230,04/29/24 02:57:10 AM,7.55,84.06,,,,
231,04/29/24 03:57:10 AM,7.50,84.06,,,,
232,04/29/24 04:57:10 AM,7.52,84.02,,,,
233,04/29/24 05:57:10 AM,7.49,83.98,,,,
234,04/29/24 06:57:10 AM,7.30,83.98,,,,
235,04/29/24 07:57:10 AM,7.34,83.95,,,,
236,04/29/24 08:57:10 AM,7.43,83.95,,,,
237,04/29/24 09:57:10 AM,7.54,83.98,,,,
238,04/29/24 10:57:10 AM,7.81,84.02,,,,
239,04/29/24 11:57:10 AM,7.93,83.95,,,,
240,04/29/24 12:57:10 PM,8.09,83.95,,,,
241,04/29/24 01:57:10 PM,8.21,84.02,,,,
242,04/29/24 02:57:10 PM,8.19,84.09,,,,
243,04/29/24 03:57:10 PM,8.16,84.13,,,,
