Sample ID,mL Filt ,L Filt,ug Chl a,ug phaeophytin,ug/L Chl a,ug/L phaeo,Dilution Factor,Corrected  for Dilution ug/L Chl a,Corrected for Dilution ug/L phaeo
T6 291,180,0.18,5.358453211,1.058891789,0.297691845,0.058827322,1,0.297691845,0.058827322
T5 317,180,0.18,-0.06826055,1.64934555,-0.003792253,0.091630308,1,-0.003792253,0.091630308
T3 451,180,0.18,5.051280734,0.956842266,0.280626707,0.053157904,1,0.280626707,0.053157904
T3 452,180,0.18,1.757709174,0.846430826,0.09765051,0.047023935,1,0.09765051,0.047023935
T6 267,180,0.18,3.617809174,0.623218826,0.200989399,0.034623268,1,0.200989399,0.034623268
T3 353,180,0.18,3.549548624,2.867796376,0.197197146,0.159322021,1,0.197197146,0.159322021
T3 450,180,0.18,2.167272477,0.901892523,0.120404027,0.05010514,1,0.120404027,0.05010514
T6 671,180,0.18,3.157050459,0.563149541,0.175391692,0.031286086,1,0.175391692,0.031286086
T3 052,180,0.18,2.798682569,1.181931431,0.155482365,0.065662857,1,0.155482365,0.065662857
T1 594,180,0.18,0.912984862,0.156572638,0.050721381,0.00869848,1,0.050721381,0.00869848
T1 013,180,0.18,21.33142202,4.895987982,1.185079001,0.271999332,1,1.185079001,0.271999332
T1 017,180,0.18,0.802061468,0.872028532,0.04455897,0.04844603,1,0.04455897,0.04844603
T2 231,180,0.18,1.211624771,0.760081229,0.067312487,0.042226735,1,0.067312487,0.042226735
T2 430,180,0.18,1.213331284,0.347292616,0.067407294,0.019294034,1,0.067407294,0.019294034
T1 412,180,0.18,1.638253211,0.612467789,0.091014067,0.034025988,1,0.091014067,0.034025988
T2 228,180,0.18,0.104097339,1.095667161,0.005783186,0.060870398,1,0.005783186,0.060870398
T2 O36,180,0.18,2.832812844,0.106145156,0.157378491,0.005896953,1,0.157378491,0.005896953
T6 081,180,0.18,2.894247339,-1.621938939,0.160791519,-0.090107719,1,0.160791519,-0.090107719
T5 324,180,0.18,1.160429358,0.718271642,0.064468298,0.03990398,1,0.064468298,0.03990398
T3 254,180,0.18,1.081929725,0.454512875,0.060107207,0.025250715,1,0.060107207,0.025250715
T3 634,180,0.18,0.609225413,0.376627587,0.033845856,0.020923755,1,0.033845856,0.020923755
T5 050,180,0.18,2.047816514,1.709585486,0.113767584,0.094976971,1,0.113767584,0.094976971
T1 410,180,0.18,0.907865321,0.725302479,0.050436962,0.040294582,1,0.050436962,0.040294582
T5 327,180,0.18,0.278161743,0.637007457,0.01545343,0.035389303,1,0.01545343,0.035389303
T2 329,180,0.18,1.194559633,0.274919367,0.066364424,0.015273298,1,0.066364424,0.015273298
T3 343,180,0.18,4.385740367,1.361968633,0.243652243,0.075664924,1,0.243652243,0.075664924
T2 039,180,0.18,1.331080734,0.938241266,0.07394893,0.052124515,1,0.07394893,0.052124515
T1 016,180,0.18,0.972712844,0.905988156,0.054039602,0.050332675,1,0.054039602,0.050332675
T3 632,180,0.18,0.790115872,1.027201828,0.043895326,0.057066768,1,0.043895326,0.057066768
T3 633,180,0.18,0.892506697,0.459786003,0.049583705,0.025543667,1,0.049583705,0.025543667
