Date,country,site,transect#,depth(m),meter#,syringe#,nutrient_sample_#,time_sampled,time_processed,nutrient,vol_filtered (mL),notes,nitrate,,Pack_for_MBL
1/8/24,BEL,BB,5,1.6,10,15,N018,16:21,18:30,,60,labelled as T1,5_19,x,x
1/8/24,BEL,BB,5,1.6,10,,N017,16:21,18:30,CHLA,180,labelled as T1,,,x
1/8/24,BEL,BB,5,1.6,20,14,N015,16:27,18:30,,60,labelled as T1,5_19,x,x
1/8/24,BEL,BB,5,1.6,20,,N016,16:27,18:30,CHLA,180,labelled as T1,,,x
1/8/24,BEL,BB,5,1.6,30,1,N008,16:31,18:30,,60,labelled as T1,5_19,x,x
1/8/24,BEL,BB,5,1.6,30,,N014,16:31,18:30,CHLA,120,labelled as T1,,,x
1/8/24,BEL,BB,5,1.6,40,12,N003,16:33,18:00,,60,labelled as T1,5_19,x,x
1/8/24,BEL,BB,5,1.6,40,,N012,16:33,18:00,CHLA,120,labelled as T1,,,x
1/8/24,BEL,BB,5,1.6,50,6,N002,16:35,18:00,,60,labelled as T1,5_19,x,x
1/8/24,BEL,BB,5,1.6,50,,N013,16:35,18:00,CHLA,60,labelled as T1,,,x
1/10/24,BEL,LAGOON,3,,10,21,N057,9:20,11:30,,60,,5_19,x,x
1/10/24,BEL,LAGOON,3,,10,,N060,9:20,11:30,CHLA,180,,,,x
1/10/24,BEL,LAGOON,3,,20,25,N053,9:28,11:30,,60,,,,5
1/10/24,BEL,LAGOON,3,,20,,N056,9:23,11:30,CHLA,160,,,,x
1/10/24,BEL,LAGOON,3,,30,24,N047,9:30,11:30,,60,,5_19,x,x
1/10/24,BEL,LAGOON,3,,30,,N052,9:30,11:30,CHLA,180,,,,x
1/10/24,BEL,LAGOON,3,,40,22,N043,9:37,11:30,,60,,,,5
1/10/24,BEL,LAGOON,3,,40,,N049,9:36,11:30,CHLA,180,,,,x
1/10/24,BEL,LAGOON,3,,50,11,N044,9:39,11:30,,60,,5_19,x,x
1/10/24,BEL,LAGOON,3,,50,,N050,9:42,11:30,CHLA,180,,,,x
1/12/24,BEL,SR30N,2,,0,26,N062,9:19,11:00,,60,labelled as T5,,,5
1/12/24,BEL,SR30N,2,,0,,N083,9:19,11:00,CHLA,180,labelled as T5,,,x
1/12/24,BEL,SR30N,2,,10,22,N064,9:22,11:00,,60,labelled as T5,,,5
