Date,T,Sample,nh4 rack,nh4 col,nh4 #,
01/2024,T1,2,1,A,1,
01/2024,T1,3,1,A,2,
01/2024,T1,8,1,A,3,
01/2024,T1,15,1,A,4,
01/2024,T1,18,1,A,5,
01/2024,T2,23,1,A,6,
01/2024,T2,24,1,A,7,
01/2024,T2,27,1,A,8,
01/2024,T2,31,1,A,9,
01/2024,T2,33,1,A,10,
01/2024,T3,43,1,A,11,
01/2024,T3,44,1,A,12,
01/2024,T3,47,1,B,1,
01/2024,T3,53,1,B,2,
01/2024,T3,57,1,B,3,
01/2024,T5,62,1,B,4,
01/2024,T5,64,1,B,5,
01/2024,T5,70,1,B,6,
05/2024,T1,199,1,B,7,
05/2024,T1,202,1,B,8,
05/2024,T1,205,1,B,9,
05/2024,T1,209,1,B,10,
05/2024,T1,226,1,B,11,
05/2024,T2,216,1,B,12,
05/2024,T2,221,1,C,1,
05/2024,T2,222,1,C,2,
05/2024,T2,224,1,C,3,
05/2024,T3,197,1,C,4,
05/2024,T3,237,1,C,5,
05/2024,T3,243,1,C,6,
05/2024,T3,247,1,C,7,
05/2024,T3,249,1,C,8,
05/2024,T5,261,1,C,9,
05/2024,T5,264,1,C,10,
05/2024,T5,266,1,C,11,
05/2024,T5,267,1,C,12,
05/2024,T5,268,1,D,1,
05/2024,T5,269,1,D,2,
05/2024,T6,272,1,D,3,
05/2024,T6,282,1,D,4,
05/2024,T6,283,1,D,5,
05/2024,T6,284,1,D,6,
05/2024,T6,293,1,D,7,
06/2024,T1,299,1,D,NA,EXCLUDE NH4 NOT ENOUGH SAMPLE
06/2024,T1,308,1,D,8,
06/2024,T1,310,1,D,NA,EXCLUDE NH4 NOT ENOUGH SAMPLE
06/2024,T1,311,1,D,9,
06/2024,T1,313,1,D,10,
06/2024,T2,328,1,D,11,
06/2024,T2,330,1,D,12,
06/2024,T2,332,1,E,1,
06/2024,T2,333,1,E,2,
06/2024,T3,337,1,E,3,
06/2024,T3,339,1,E,4,
06/2024,T3,341,1,E,5,
06/2024,T3,349,1,E,6,
06/2024,T3,352,1,E,7,
06/2024,T5,316,1,E,8,
06/2024,T5,319,1,E,9,
06/2024,T5,320,1,E,10,
06/2024,T5,325,1,E,11,
08/2024,T1,409,1,E,12,
08/2024,T1,405,2,A,1,
08/2024,T1,397,2,A,2,
08/2024,T2,416,2,A,3,
08/2024,T2,422,2,A,4,
08/2024,T3,445,2,A,5,
08/2024,T3,449,2,A,NA,NOT ENOUGH SAMPLE FOR NH4
08/2024,T3,441,2,A,6,
08/2024,T3,439,2,A,7,
08/2024,T3,438,2,A,8,
08/2024,T1,403,2,A,9,
08/2024,T2,415,2,A,10,
08/2024,T2,428,2,A,11,
08/2024,T5,457,2,A,12,
08/2024,T5,459,2,B,1,
08/2024,T5,462,2,B,2,
08/2024,T5,463,2,B,3,
08/2024,T6,447,2,B,4,
08/2024,T6,444,2,B,5,
08/2024,T6,455,2,B,6,
06/2025,T1,93,2,B,7,blank
06/2025,T1,576,2,B,8,
06/2025,T1,579,2,B,9,
06/2025,T1,586,2,B,10,
06/2025,T1,587,2,B,11,
06/2025,T1,588,2,B,12,
06/2025,T2,598,2,C,1,
06/2025,T2,599,2,C,2,
06/2025,T2,608,2,C,3,
06/2025,T2,610,2,C,4,
06/2025,T3,616,2,C,5,
06/2025,T3,620,2,C,6,
06/2025,T3,621,2,C,7,
06/2025,T3,625,2,C,8,
06/2025,T3,626,2,C,9,
06/2025,T5,636,2,C,10,
06/2025,T5,640,2,C,11,
06/2025,T5,641,2,C,12,
06/2025,T5,642,2,D,1,
06/2025,T5,646,2,D,2,
06/2025,T6,657,2,D,3,
06/2025,T6,658,2,D,4,
06/2025,T6,660,2,D,5,
06/2025,T6,667,2,D,6,
06/2025,T6,668,2,D,7,
08/2024,T6,487,2,D,8,
