Date,T,Sample,Rack position,Rack# lachat,nh4 rack,nh4 col,nh4 #,
Jan-24,T1,2,1,1,1,A,1,
Jan-24,T1,3,2,1,1,A,2,
Jan-24,T1,8,3,1,1,A,3,
Jan-24,T1,15,4,1,1,A,4,
Jan-24,T1,18,5,1,1,A,5,
Jan-24,T2,23,6,1,1,A,6,
Jan-24,T2,24,7,1,1,A,7,
Jan-24,T2,27,8,1,1,A,8,
Jan-24,T2,31,9,1,1,A,9,
Jan-24,T2,33,10,1,1,A,10,
Jan-24,T3,43,11,1,1,A,11,
Jan-24,T3,44,12,1,1,A,12,
Jan-24,T3,47,13,1,1,B,1,
Jan-24,T3,53,14,1,1,B,2,
Jan-24,T3,57,15,1,1,B,3,
Jan-24,T5,62,16,1,1,B,4,
Jan-24,T5,64,17,1,1,B,5,
Jan-24,T5,70,18,1,1,B,6,
May-24,T1,199,19,1,1,B,7,
May-24,T1,202,20,1,1,B,8,
May-24,T1,205,21,1,1,B,9,
May-24,T1,209,22,1,1,B,10,
May-24,T1,226,23,1,1,B,11,
May-24,T2,216,24,1,1,B,12,
May-24,T2,221,25,1,1,C,1,
May-24,T2,222,26,1,1,C,2,
May-24,T2,224,27,1,1,C,3,
May-24,T3,197,28,1,1,C,4,
May-24,T3,237,29,1,1,C,5,
May-24,T3,243,30,1,1,C,6,
May-24,T3,247,31,1,1,C,7,
May-24,T3,249,32,1,1,C,8,
May-24,T5,261,33,1,1,C,9,
May-24,T5,264,34,1,1,C,10,
May-24,T5,266,35,1,1,C,11,
May-24,T5,267,36,1,1,C,12,
May-24,T5,268,37,1,1,D,1,
May-24,T5,269,38,1,1,D,2,
May-24,T6,272,39,1,1,D,3,
May-24,T6,282,40,1,1,D,4,
May-24,T6,283,41,1,1,D,5,
May-24,T6,284,42,1,1,D,6,
May-24,T6,293,43,1,1,D,7,
Jun-24,T1,299,44,1,1,D,NA,EXCLUDE NH4 NOT ENOUGH SAMPLE
Jun-24,T1,308,45,1,1,D,8,
Jun-24,T1,310,46,1,1,D,NA,EXCLUDE NH4 NOT ENOUGH SAMPLE
Jun-24,T1,311,47,1,1,D,9,
Jun-24,T1,313,48,1,1,D,10,
Jun-24,T2,328,49,1,1,D,11,
Jun-24,T2,330,50,1,1,D,12,
Jun-24,T2,332,51,1,1,E,1,
Jun-24,T2,333,52,1,1,E,2,
Jun-24,T3,337,53,1,1,E,3,
Jun-24,T3,339,54,1,1,E,4,
Jun-24,T3,341,55,1,1,E,5,
Jun-24,T3,349,56,1,1,E,6,
Jun-24,T3,352,57,1,1,E,7,
Jun-24,T5,316,58,1,1,E,8,
Jun-24,T5,319,59,1,1,E,9,
Jun-24,T5,320,60,1,1,E,10,
Jun-24,T5,325,61,1,1,E,11,
Aug-24,T1,409,62,1,1,E,12,
Aug-24,T1,405,63,1,2,A,1,
Aug-24,T1,397,64,1,2,A,2,
Aug-24,T2,416,65,1,2,A,3,
Aug-24,T2,422,66,1,2,A,4,
Aug-24,T3,445,67,1,2,A,5,
Aug-24,T3,449,68,1,2,A,NA,NOT ENOUGH SAMPLE FOR NH4
Aug-24,T3,441,69,1,2,A,6,
Aug-24,T3,439,70,1,2,A,7,
Aug-24,T3,438,71,1,2,A,8,
Aug-24,T1,403,72,1,2,A,9,
Aug-24,T2,415,73,1,2,A,10,
Aug-24,T2,428,74,1,2,A,11,
Aug-24,T5,457,75,1,2,A,12,
Aug-24,T5,459,76,1,2,B,1,
Aug-24,T5,462,77,1,2,B,2,
Aug-24,T5,463,78,1,2,B,3,
Aug-24,T6,447,79,1,2,B,4,
Aug-24,T6,444,80,1,2,B,5,
Aug-24,T6,455,81,1,2,B,6,
Jun-25,T1,93,82,1,2,B,7,blank
Jun-25,T1,576,83,1,2,B,8,
Jun-25,T1,579,84,1,2,B,9,
Jun-25,T1,586,85,1,2,B,10,
Jun-25,T1,587,86,1,2,B,11,
Jun-25,T1,588,87,1,2,B,12,
Jun-25,T2,598,88,1,2,C,1,
Jun-25,T2,599,89,1,2,C,2,
Jun-25,T2,608,90,1,2,C,3,
Jun-25,T2,610,1,2,2,C,4,
Jun-25,T3,616,2,2,2,C,5,
Jun-25,T3,620,3,2,2,C,6,
Jun-25,T3,621,4,2,2,C,7,
Jun-25,T3,625,5,2,2,C,8,
Jun-25,T3,626,6,2,2,C,9,
Jun-25,T5,636,7,2,2,C,10,
Jun-25,T5,640,8,2,2,C,11,
Jun-25,T5,641,9,2,2,C,12,
Jun-25,T5,642,10,2,2,D,1,
Jun-25,T5,646,11,2,2,D,2,
Jun-25,T6,657,12,2,2,D,3,
Jun-25,T6,658,13,2,2,D,4,
Jun-25,T6,660,14,2,2,D,5,
Jun-25,T6,667,15,2,2,D,6,
Jun-25,T6,668,16,2,2,D,7,
Aug-24,T6,487,17,2,2,D,8,
