"","Date","country","site","transect","depthm","meter","syringe","nutrient_sample_","time_sampled","time_processed","nutrient","vol_filteredmL","notes","nitrate","monthyear"
"1",2024-01-08,"BEL","BB",5,1.6,"10","15","N018","16:21","18:30","","60","labelled as T1","5_19","Jan 2024"
"2",2024-01-08,"BEL","BB",5,1.6,"10","","N017","16:21","18:30","CHLA","180","labelled as T1","","Jan 2024"
"3",2024-01-08,"BEL","BB",5,1.6,"20","14","N015","16:27","18:30","","60","labelled as T1","5_19","Jan 2024"
"4",2024-01-08,"BEL","BB",5,1.6,"20","","N016","16:27","18:30","CHLA","180","labelled as T1","","Jan 2024"
"5",2024-01-08,"BEL","BB",5,1.6,"30","1","N008","16:31","18:30","","60","labelled as T1","5_19","Jan 2024"
"6",2024-01-08,"BEL","BB",5,1.6,"30","","N014","16:31","18:30","CHLA","120","labelled as T1","","Jan 2024"
"7",2024-01-08,"BEL","BB",5,1.6,"40","12","N003","16:33","18:00","","60","labelled as T1","5_19","Jan 2024"
"8",2024-01-08,"BEL","BB",5,1.6,"40","","N012","16:33","18:00","CHLA","120","labelled as T1","","Jan 2024"
"9",2024-01-08,"BEL","BB",5,1.6,"50","6","N002","16:35","18:00","","60","labelled as T1","5_19","Jan 2024"
"10",2024-01-08,"BEL","BB",5,1.6,"50","","N013","16:35","18:00","CHLA","60","labelled as T1","","Jan 2024"
"11",2024-01-10,"BEL","LAGOON",3,NA,"10","21","N057","9:20","11:30","","60","","5_19","Jan 2024"
"12",2024-01-10,"BEL","LAGOON",3,NA,"10","","N060","9:20","11:30","CHLA","180","","","Jan 2024"
"13",2024-01-10,"BEL","LAGOON",3,NA,"20","25","N053","9:28","11:30","","60","","","Jan 2024"
"14",2024-01-10,"BEL","LAGOON",3,NA,"20","","N056","9:23","11:30","CHLA","160","","","Jan 2024"
"15",2024-01-10,"BEL","LAGOON",3,NA,"30","24","N047","9:30","11:30","","60","","5_19","Jan 2024"
"16",2024-01-10,"BEL","LAGOON",3,NA,"30","","N052","9:30","11:30","CHLA","180","","","Jan 2024"
"17",2024-01-10,"BEL","LAGOON",3,NA,"40","22","N043","9:37","11:30","","60","","","Jan 2024"
"18",2024-01-10,"BEL","LAGOON",3,NA,"40","","N049","9:36","11:30","CHLA","180","","","Jan 2024"
"19",2024-01-10,"BEL","LAGOON",3,NA,"50","11","N044","9:39","11:30","","60","","5_19","Jan 2024"
"20",2024-01-10,"BEL","LAGOON",3,NA,"50","","N050","9:42","11:30","CHLA","180","","","Jan 2024"
"21",2024-01-12,"BEL","SR30N",2,NA,"0","26","N062","9:19","11:00","","60","labelled as T5","","Jan 2024"
"22",2024-01-12,"BEL","SR30N",2,NA,"0","","N083","9:19","11:00","CHLA","180","labelled as T5","","Jan 2024"
"23",2024-01-12,"BEL","SR30N",2,NA,"10","22","N064","9:22","11:00","","60","labelled as T5","","Jan 2024"
"24",2024-01-12,"BEL","SR30N",2,NA,"10","","N081","9:22","11:00","CHLA","180","labelled as T5","","Jan 2024"
"25",2024-01-12,"BEL","SR30N",2,NA,"20","5","N068","9:26","11:00","","60","labelled as T5","","Jan 2024"
"26",2024-01-12,"BEL","SR30N",2,NA,"20","","N082","9:29","11:00","CHLA","180","labelled as T5","","Jan 2024"
"27",2024-01-12,"BEL","SR30N",2,NA,"30","16","N070","9:29","11:00","","60","labelled as T5","5_20","Jan 2024"
"28",2024-01-12,"BEL","SR30N",2,NA,"30","","N080","9:29","11:00","CHLA","180","labelled as T5","","Jan 2024"
"29",2024-01-09,"BEL","CBC30N",1,NA,"10","18","N023","16:25","18:00","","60","labelled as T2","5_20","Jan 2024"
"30",2024-01-09,"BEL","CBC30N",1,NA,"10","","N036","","","CHLA","180","labelled as T5","","Jan 2024"
"31",2024-01-09,"BEL","CBC30N",1,NA,"20","7","N024","16:34","18:00","","60","labelled as T2","5_20","Jan 2024"
"32",2024-01-09,"BEL","CBC30N",1,NA,"20","","N037","","","CHLA","180","labelled as T5","","Jan 2024"
"33",2024-01-09,"BEL","CBC30N",1,NA,"30","14","N027","16:36","18:00","","60","labelled as T2","","Jan 2024"
"34",2024-01-09,"BEL","CBC30N",1,NA,"30","","N040","","","CHLA","180","labelled as T5","","Jan 2024"
"35",2024-01-09,"BEL","CBC30N",1,NA,"40","25","N031","16:41","18:00","","60","labelled as T2","5_20","Jan 2024"
"36",2024-01-09,"BEL","CBC30N",1,NA,"40","","N038","","","CHLA","180","labelled as T5","","Jan 2024"
"37",2024-01-09,"BEL","CBC30N",1,NA,"50","24","N033","16:49","18:00","","60","labelled as T2","5_20","Jan 2024"
"38",2024-01-09,"BEL","CBC30N",1,NA,"50","","N039","","","CHLA","180","labelled as T5","","Jan 2024"
"39",2024-04-25,"BEL","LAGOON",3,4.8,"0","7","N247","14:11","15:40","","60","","5_20","Apr 2024"
"40",2024-04-25,"BEL","LAGOON",3,4.8,"10","20","N249","14:11","15:40","","60","","5_20","Apr 2024"
"41",2024-04-25,"BEL","LAGOON",3,4.8,"20","1","N243","14:17","15:40","","60","","5_20","Apr 2024"
"42",2024-04-25,"BEL","LAGOON",3,4.8,"30","13","N237","14:20","15:40","","60","","5_20","Apr 2024"
"43",2024-04-25,"BEL","LAGOON",3,4.8,"40","18","N197","14:23","15:40","","60","","5_20","Apr 2024"
"44",2024-04-25,"BEL","LAGOON",3,4.8,"10","","N252","","15:40","CHLA","180","","","Apr 2024"
"45",2024-04-25,"BEL","LAGOON",3,4.8,"0","","N255","","15:40","CHLA","180","","","Apr 2024"
"46",2024-04-25,"BEL","LAGOON",3,4.8,"20","","N254","","15:40","CHLA","180","","","Apr 2024"
"47",2024-04-25,"BEL","LAGOON",3,4.8,"30","","N253","","15:40","CHLA","180","","","Apr 2024"
"48",2024-04-25,"BEL","LAGOON",3,4.8,"40","","N251","","15:40","CHLA","180","","","Apr 2024"
"49",2024-04-25,"BEL","CBC30N",1,8.5,"10","20","N199","10:01","11:40","","60","","5_20","Apr 2024"
"50",2024-04-25,"BEL","CBC30N",1,8.5,"20","25","N209","10:05","11:40","","60","","5_20","Apr 2024"
"51",2024-04-25,"BEL","CBC30N",1,8.5,"30","5","N202","10:07","11:40","","60","","5_20","Apr 2024"
"52",2024-04-25,"BEL","CBC30N",1,8.5,"0","7","N205","10:13","11:40","","60","","5_20","Apr 2024"
"53",2024-04-25,"BEL","CBC30N",1,8.5,"10","","N211","","11:40","CHLA","180","","","Apr 2024"
"54",2024-04-25,"BEL","CBC30N",1,8.5,"20","","N212","","11:40","CHLA","180","","","Apr 2024"
"55",2024-04-25,"BEL","CBC30N",1,8.5,"30","","N213","","11:40","CHLA","180","","","Apr 2024"
"56",2024-04-25,"BEL","CBC30N",1,8.5,"0","","N214","","11:40","CHLA","180","","","Apr 2024"
"57",2024-04-26,"BEL","SR30N",2,9,"0","8","N216","9:54","11:30","","60","","5_20","Apr 2024"
"58",2024-04-26,"BEL","SR30N",2,9,"10","9","N224","9:56","11:30","","60","","5_20","Apr 2024"
"59",2024-04-26,"BEL","SR30N",2,9,"20","17","N221","10:00","11:30","","60","","5_20","Apr 2024"
"60",2024-04-26,"BEL","SR30N",2,9,"30","15","N222","10:02","11:30","","60","","5_20","Apr 2024"
