RowID,Sample Name,Sample ID,Date,Time,WL640.0,[NH4]
1,DI,,11/20/25,4:36:13 PM,-0.0026,
2,DI,,11/20/25,4:38:12 PM,-0.0002,
3,DI,,11/20/25,4:38:33 PM,-0.0002,
4,DI,,11/20/25,4:39:00 PM,-0.0002,
5,DI,,11/20/25,4:39:37 PM,0,-0.185
6,DI,,11/20/25,4:39:57 PM,0,-0.185
7,DI,,11/20/25,4:40:17 PM,0,-0.185
8,DI,,11/20/25,4:41:05 PM,0,-0.185
9,0,stnd,11/20/25,4:42:11 PM,0.004,0.039
10,0.25,stnd,11/20/25,4:42:53 PM,0.0063,0.169
11,0.5,stnd,11/20/25,4:43:22 PM,0.0093,0.337
12,1,stnd,11/20/25,4:43:55 PM,0.0124,0.511
13,2,stnd,11/20/25,4:44:24 PM,0.0279,1.382
14,5,stnd,11/20/25,4:44:54 PM,0.0835,4.506
15,10,stnd,11/20/25,4:45:47 PM,0.1732,9.545
16,20,stnd,11/20/25,4:46:10 PM,0.3387,18.843
17,50,stnd,11/20/25,4:46:31 PM,0.8925,49.955
18,DI,,11/20/25,4:49:22 PM,0.0006,-0.152
19,DI,,11/20/25,4:49:42 PM,0.0002,-0.174
20,DI,,11/20/25,4:50:18 PM,0.0002,-0.174
21,0,stnd,11/20/25,4:54:45 PM,0.0041,0.045
22,0.25,stnd,11/20/25,4:55:06 PM,0.0061,0.157
23,0.5,stnd,11/20/25,4:55:31 PM,0.0095,0.348
24,1,stnd,11/20/25,4:55:59 PM,0.0126,0.522
25,2,stnd,11/20/25,4:56:25 PM,0.0288,1.433
26,5,stnd,11/20/25,4:56:47 PM,0.0873,4.719
27,10,stnd,11/20/25,4:57:10 PM,0.1742,9.601
28,20,stnd,11/20/25,4:57:40 PM,0.3403,18.933
29,50,stnd,11/20/25,4:58:02 PM,0.8969,50.202
30,DI,,11/20/25,4:58:23 PM,0.0006,-0.152
31,DI,,11/20/25,4:59:06 PM,0.0001,-0.180
32,A1,,11/20/25,5:01:49 PM,0.0097,0.360
