Date,T,Sample,Rack position,Cup Number,Sample ID,Analyte Name,Determined Conc.,Conc x ADF
,,,,S10,20NO2,NO3 +NO2,,23.1
,,,,S2,20N/8P,NO3 +NO2,,21
,,,,S1,30N/12P,NO3 +NO2,0,30
,,,,S1,30N/12P,NO3 +NO2,0,30
,,,,S2,20N/8P,NO3 +NO2,20.0006,20
,,,,S2,20N/8P,NO3 +NO2,20.02666,20
,,,,S3,10N/4P,NO3 +NO2,10.01922,10
,,,,S3,10N/4P,NO3 +NO2,10.06473,10
,,,,S10,20NO2,NO3 +NO2,,22.1
,,,,S2,20N/8P,NO3 +NO2,,20.1
,,,,S4,5N/2P,NO3 +NO2,4.937904,5
,,,,S4,5N/2P,NO3 +NO2,5.010509,5
,,,,S5,2N/0.8P,NO3 +NO2,1.983329,2
,,,,S5,2N/0.8P,NO3 +NO2,2.000772,2
,,,,S6,1N/0.4P,NO3 +NO2,0.9806193,1
,,,,S6,1N/0.4P,NO3 +NO2,1.008739,1
,,,,S7,0.5N/0.2P,NO3 +NO2,0.4880774,0.5
,,,,S7,0.5N/0.2P,NO3 +NO2,0.502597,0.5
,,,,S8,0.25N/0.1P,NO3 +NO2,0.240512,0.25
,,,,S8,0.25N/0.1P,NO3 +NO2,0.2296452,0.25
,,,,S9,Saline,NO3 +NO2,6.28E-03,0
,,,,S9,Saline,NO3 +NO2,1.49E-02,0
,,,,S9,saline,NO3 +NO2,,-0.0225
,,,,S9,saline,NO3 +NO2,,-0.00479
,,,,S9,saline,NO3 +NO2,,0.0128
,,,,S9,saline,NO3 +NO2,,0.029
,,,,S9,saline,NO3 +NO2,,0.0369
,,,,S9,saline,NO3 +NO2,,0.0309
,,,,S10,20NO2,NO3 +NO2,,20.9
,,,,S2,20N/8P,NO3 +NO2,,20.3
,,,,S9,saline,NO3 +NO2,,-0.132
,,,,S9,saline,NO3 +NO2,,0.021
,,,,S9,saline,NO3 +NO2,,0.000494
,,,,S9,saline,NO3 +NO2,,0.03
,,,,S10,20NO2,NO3 +NO2,,20.8
,,,,S2,20N/8P,NO3 +NO2,,20.2
Jan-24,T1,2,1,1,Sample 001,NO3 +NO2,,1.72
Jan-24,T1,3,2,2,Sample 002,NO3 +NO2,,2.2
Jan-24,T1,8,3,3,Sample 003,NO3 +NO2,,2.21
Jan-24,T1,15,4,4,Sample 004,NO3 +NO2,,1.74
Jan-24,T1,18,5,5,Sample 005,NO3 +NO2,,2.38
Jan-24,T2,23,6,6,Sample 006,NO3 +NO2,,0.601
Jan-24,T2,24,7,7,Sample 007,NO3 +NO2,,0.94
Jan-24,T2,27,8,8,Sample 008,NO3 +NO2,,1.12
Jan-24,T2,31,9,9,Sample 009,NO3 +NO2,,0.609
Jan-24,T2,33,10,10,Sample 010,NO3 +NO2,,1.22
Jan-24,T3,43,11,11,Sample 011,NO3 +NO2,,0.381
Jan-24,T3,44,12,12,Sample 012,NO3 +NO2,,0.682
Jan-24,T3,47,13,13,Sample 013,NO3 +NO2,,1
Jan-24,T3,53,14,14,Sample 014,NO3 +NO2,,0.737
Jan-24,T3,57,15,15,Sample 015,NO3 +NO2,,0.176
Jan-24,T5,62,16,16,Sample 016,NO3 +NO2,,0.631
Jan-24,T5,64,17,17,Sample 017,NO3 +NO2,,0.994
Jan-24,T5,70,18,18,Sample 018,NO3 +NO2,,1.27
May-24,T1,199,19,19,Sample 019,NO3 +NO2,,0.906
May-24,T1,202,20,20,Sample 020,NO3 +NO2,,0.0797
,,,,S4,5N/2P,NO3 +NO2,,5.11
,,,,S9,Saline,NO3 +NO2,,-0.0579
,,,,S10,20NO2,NO3 +NO2,,20.5
,,,,S2,20N/8P,NO3 +NO2,,20.2
May-24,T1,205,21,21,Sample 021,NO3 +NO2,,-0.0618
May-24,T1,209,22,22,Sample 022,NO3 +NO2,,0.12
May-24,T1,226,23,23,Sample 023,NO3 +NO2,,1.15
May-24,T2,216,24,24,Sample 024,NO3 +NO2,,0.256
May-24,T2,221,25,25,Sample 025,NO3 +NO2,,0.124
May-24,T2,222,26,26,Sample 026,NO3 +NO2,,0.165
May-24,T2,224,27,27,Sample 027,NO3 +NO2,,0.169
May-24,T3,197,28,28,Sample 028,NO3 +NO2,,0.366
May-24,T3,237,29,29,Sample 029,NO3 +NO2,,0.278
May-24,T3,243,30,30,Sample 030,NO3 +NO2,,0.17
May-24,T3,247,31,31,Sample 031,NO3 +NO2,,0.207
May-24,T3,249,32,32,Sample 032,NO3 +NO2,,0.165
May-24,T5,261,33,33,Sample 033,NO3 +NO2,,1.2
May-24,T5,264,34,34,Sample 034,NO3 +NO2,,0.244
May-24,T5,266,35,35,Sample 035,NO3 +NO2,,1.1
May-24,T5,267,36,36,Sample 036,NO3 +NO2,,0.282
May-24,T5,268,37,37,Sample 037,NO3 +NO2,,1.02
May-24,T5,269,38,38,Sample 038,NO3 +NO2,,1.32
May-24,T6,272,39,39,Sample 039,NO3 +NO2,,0.241
May-24,T6,282,40,40,Sample 040,NO3 +NO2,,0.289
,,,,S10,20NO2,NO3 +NO2,,20.5
,,,,S2,20N/8P,NO3 +NO2,,20.2
,,,,S9,Saline,NO3 +NO2,,-0.217
May-24,T6,283,41,41,Sample 041,NO3 +NO2,,0.269
May-24,T6,284,42,42,Sample 042,NO3 +NO2,,0.228
May-24,T6,293,43,43,Sample 043,NO3 +NO2,,0.393
Jun-24,T1,299,44,44,Sample 044,NO3 +NO2,,4.35
Jun-24,T1,308,45,45,Sample 045,NO3 +NO2,,0.718
Jun-24,T1,310,46,46,Sample 046,NO3 +NO2,,4.51
Jun-24,T1,311,47,47,Sample 047,NO3 +NO2,,2.76
Jun-24,T1,313,48,48,Sample 048,NO3 +NO2,,1.18
Jun-24,T2,328,49,49,Sample 049,NO3 +NO2,,0.492
Jun-24,T2,330,50,50,Sample 050,NO3 +NO2,,0.576
Jun-24,T2,332,51,51,Sample 051,NO3 +NO2,,0.597
Jun-24,T2,333,52,52,Sample 052,NO3 +NO2,,1.08
Jun-24,T3,337,53,53,Sample 053,NO3 +NO2,,0.839
Jun-24,T3,339,54,54,Sample 054,NO3 +NO2,,1.21
Jun-24,T3,341,55,55,Sample 055,NO3 +NO2,,0.847
Jun-24,T3,349,56,56,Sample 056,NO3 +NO2,,1.14
Jun-24,T3,352,57,57,Sample 057,NO3 +NO2,,1.09
Jun-24,T5,316,58,58,Sample 058,NO3 +NO2,,1.46
Jun-24,T5,319,59,59,Sample 059,NO3 +NO2,,1.27
,,,,S10,20NO2,NO3 +NO2,,20.8
,,,,S2,20N/8P,NO3 +NO2,,20.2
,,,,S9,Saline,NO3 +NO2,,-0.236
Jun-24,T5,320,60,60,Sample 060,NO3 +NO2,,1.07
Jun-24,T5,325,61,61,Sample 061,NO3 +NO2,,0.676
Aug-24,T1,409,62,62,Sample 062,NO3 +NO2,,0.322
Aug-24,T1,405,63,63,Sample 063,NO3 +NO2,,0.19
Aug-24,T1,397,64,64,Sample 064,NO3 +NO2,,0.178
Aug-24,T2,416,65,65,Sample 065,NO3 +NO2,,0.455
Aug-24,T2,422,66,66,Sample 066,NO3 +NO2,,2.83
Aug-24,T3,445,67,67,Sample 067,NO3 +NO2,,0.222
Aug-24,T3,449,68,68,Sample 068,NO3 +NO2,,8.47
Aug-24,T3,441,69,69,Sample 069,NO3 +NO2,,0.185
Aug-24,T3,439,70,70,Sample 070,NO3 +NO2,,1.32
Aug-24,T3,438,71,71,Sample 071,NO3 +NO2,,0.506
Aug-24,T1,403,72,72,Sample 072,NO3 +NO2,,0.406
Aug-24,T2,415,73,73,Sample 073,NO3 +NO2,,0.317
Aug-24,T2,428,74,74,Sample 074,NO3 +NO2,,1.22
Aug-24,T5,457,75,75,Sample 075,NO3 +NO2,,2.07
Aug-24,T5,459,76,76,Sample 076,NO3 +NO2,,0.957
Aug-24,T5,462,77,77,Sample 077,NO3 +NO2,,2.77
Aug-24,T5,463,78,78,Sample 078,NO3 +NO2,,1.63
Aug-24,T6,447,79,79,Sample 079,NO3 +NO2,,4.73
Aug-24,T6,444,80,80,Sample 080,NO3 +NO2,,4.02
,,,,S10,20NO2,NO3 +NO2,,20.4
,,,,S2,20N/8P,NO3 +NO2,,19.9
,,,,S9,Saline,NO3 +NO2,,-0.272
Aug-24,T6,455,81,81,Sample 081,NO3 +NO2,,2.96
Jun-25,T1,93,82,82,Sample 082,NO3 +NO2,,0.527
Jun-25,T1,576,83,83,Sample 083,NO3 +NO2,,0.153
Jun-25,T1,579,84,84,Sample 084,NO3 +NO2,,-0.0362
Jun-25,T1,586,85,85,Sample 085,NO3 +NO2,,-0.0188
Jun-25,T1,587,86,86,Sample 086,NO3 +NO2,,0.0465
