Summary
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.12
[Data Information]
Filename:,E:\brooke\mbl2025\BKS_BEL_Nov2025_NH4_X2.vphd
Analyst:
Date/Time:,11/20/2025 06:06:09 PM
Comments:
Parameter File Name:,NH4 5ml PeristalticPumpSipper_KHF.vphm
Report File Name:
[Instrument Information]
Instrument Name:,UV-1900i
Instrument Type:,UV-1900 Series
Model (S/N):,UV-1900i (A12535951143)

Parameter
[Wavelength]
Type of Measuring Mode:,Absorbance
Column Name:,WL640.0
Measuring Method:,Point (640.00nm)
[Formula]
[Unknown Sample]
Acquiring Method:,Measurement
Repeat:,OFF
[Instrument]
Accumulation Time (sec.):,2.0
Light Source Switch Wavelength:,340.00
S/R Switch:,Standard
[Accessories]
Accessories:,Sipper
Sip Speed:,High
Sip Time (sec.):,8
Purge Time (sec.):,0
Dwell Time (sec.):,2
Rinses (count):,0
Return the Sample:,OFF

Sample Table
RowID,Sample Name,Sample ID,Option,Type,Date,Time,WL640.0,Dilution Rate,Comments
1,DI,,,UNK,11/20/2025,04:36:13 PM,-0.0026,1.00,
2,DI,,,UNK,11/20/2025,04:38:12 PM,-0.0002,1.00,
3,DI,,,UNK,11/20/2025,04:38:33 PM,-0.0002,1.00,
4,DI,,,UNK,11/20/2025,04:39:00 PM,-0.0002,1.00,
5,DI,,,UNK,11/20/2025,04:39:37 PM,0.0000,1.00,
6,DI,,,UNK,11/20/2025,04:39:57 PM,0.0000,1.00,
7,DI,,,UNK,11/20/2025,04:40:17 PM,0.0000,1.00,
8,DI,,,UNK,11/20/2025,04:41:05 PM,0.0000,1.00,
9,0 STND,,,UNK,11/20/2025,04:42:11 PM,0.0040,1.00,
10,0.25,,,UNK,11/20/2025,04:42:53 PM,0.0063,1.00,
11,0.5,,,UNK,11/20/2025,04:43:22 PM,0.0093,1.00,
12,1,,,UNK,11/20/2025,04:43:55 PM,0.0124,1.00,
13,2,,,UNK,11/20/2025,04:44:24 PM,0.0279,1.00,
14,5,,,UNK,11/20/2025,04:44:54 PM,0.0835,1.00,
15,10,,,UNK,11/20/2025,04:45:47 PM,0.1732,1.00,
16,20,,,UNK,11/20/2025,04:46:10 PM,0.3387,1.00,
17,50,,,UNK,11/20/2025,04:46:31 PM,0.8925,1.00,
18,DI,,,UNK,11/20/2025,04:49:22 PM,0.0006,1.00,
19,DI,,,UNK,11/20/2025,04:49:42 PM,0.0002,1.00,
20,DI,,,UNK,11/20/2025,04:50:18 PM,0.0002,1.00,
