Cup Number,Sample ID,Auto Dilution Factor,Analyte Name,Concentration Units,Peak Height,Peak Area,Peak Concentration,Determined Conc.,Conc x ADF
S10,20NO2,1,PO4,uM,-0.00863,-0.145,0,,0
S10,20NO2,1,NO3 +NO2,,0.535,14.5,23.1,,23.1
S2,20N/8P,1,PO4,uM,0.253,4.62,0,,0
S2,20N/8P,1,NO3 +NO2,,0.485,13.2,21,,21
S1,30N/12P,1,PO4,uM,0.389,7.08,12,0,12
S1,30N/12P,1,NO3 +NO2,,0.725,20,30,0,30
S1,30N/12P,1,PO4,uM,0.389,7.12,12,0,12
S1,30N/12P,1,NO3 +NO2,,0.719,20,30,0,30
S2,20N/8P,1,PO4,uM,0.254,4.65,8,0,8
S2,20N/8P,1,NO3 +NO2,,0.483,13.3,20,20.0006,20
S2,20N/8P,1,PO4,uM,0.254,4.65,8,0,8
S2,20N/8P,1,NO3 +NO2,,0.483,13.3,20,20.02666,20
S3,10N/4P,1,PO4,uM,0.125,2.28,4,0,4
S3,10N/4P,1,NO3 +NO2,,0.242,6.66,10,10.01922,10
S3,10N/4P,1,PO4,uM,0.125,2.29,4,0,4
S3,10N/4P,1,NO3 +NO2,,0.244,6.72,10,10.06473,10
S10,20NO2,1,PO4,uM,-0.00768,-0.138,-0.228,,-0.228
S10,20NO2,1,NO3 +NO2,,0.533,14.8,22.1,,22.1
S2,20N/8P,1,PO4,uM,0.254,4.65,8,,8
S2,20N/8P,1,NO3 +NO2,,0.481,13.4,20.1,,20.1
S4,5N/2P,1,PO4,uM,0.0589,1.04,2,2.000377,2
S4,5N/2P,1,NO3 +NO2,,0.117,3.27,5,4.937904,5
S4,5N/2P,1,PO4,uM,0.0587,1.08,2,2.030533,2
S4,5N/2P,1,NO3 +NO2,,0.119,3.32,5,5.010509,5
S5,2N/0.8P,1,PO4,uM,0.0207,0.383,0.8,0.836683,0.8
S5,2N/0.8P,1,NO3 +NO2,,0.0463,1.3,2,1.983329,2
S5,2N/0.8P,1,PO4,uM,0.0209,0.382,0.8,0.8191226,0.8
S5,2N/0.8P,1,NO3 +NO2,,0.0467,1.31,2,2.000772,2
S6,1N/0.4P,1,PO4,uM,0.00825,0.139,0.4,0.4055843,0.4
S6,1N/0.4P,1,NO3 +NO2,,0.0223,0.628,1,0.9806193,1
S6,1N/0.4P,1,PO4,uM,0.00798,0.147,0.4,0.4136851,0.4
S6,1N/0.4P,1,NO3 +NO2,,0.0237,0.648,1,1.008739,1
S7,0.5N/0.2P,1,PO4,uM,0.000955,0.018,0.2,0.1957225,0.2
S7,0.5N/0.2P,1,NO3 +NO2,,0.0115,0.299,0.5,0.4880774,0.5
S7,0.5N/0.2P,1,PO4,uM,0.000865,0.000282,0.2,0.1739252,0.2
S7,0.5N/0.2P,1,NO3 +NO2,,0.0115,0.309,0.5,0.502597,0.5
S8,0.25N/0.1P,1,PO4,uM,-0.0027,-0.0439,0.1,9.952863E-02,0.1
S8,0.25N/0.1P,1,NO3 +NO2,,0.00521,0.133,0.25,0.240512,0.25
S8,0.25N/0.1P,1,PO4,uM,-0.00408,-0.0728,0.1,6.006471E-02,0.1
S8,0.25N/0.1P,1,NO3 +NO2,,0.00556,0.125,0.25,0.2296452,0.25
S9,Saline,1,PO4,uM,-0.00783,-0.148,0,-5.334218E-02,0
S9,Saline,1,NO3 +NO2,,-0.00157,-0.024,0,6.282703E-03,0
S9,Saline,1,PO4,uM,-0.00802,-0.147,0,-0.0432615,0
S9,Saline,1,NO3 +NO2,,-0.00107,-0.0173,0,1.491269E-02,0
S9,saline,1,PO4,uM,-0.00913,-0.16,-0.0779,,-0.0779
S9,saline,1,NO3 +NO2,,-0.00167,-0.0423,-0.0225,,-0.0225
S9,saline,1,PO4,uM,-0.00803,-0.151,-0.0615,,-0.0615
S9,saline,1,NO3 +NO2,,-0.00142,-0.0305,-0.00479,,-0.00479
S9,saline,1,PO4,uM,-0.0091,-0.165,-0.0854,,-0.0854
S9,saline,1,NO3 +NO2,,-0.00109,-0.0187,0.0128,,0.0128
S9,saline,1,PO4,uM,-0.00781,-0.142,-0.0468,,-0.0468
S9,saline,1,NO3 +NO2,,-0.00144,-0.00793,0.029,,0.029
S9,saline,1,PO4,uM,-0.00835,-0.144,-0.051,,-0.051
S9,saline,1,NO3 +NO2,,-0.000993,-0.00266,0.0369,,0.0369
S9,saline,1,PO4,uM,-0.00731,-0.13,-0.0266,,-0.0266
S9,saline,1,NO3 +NO2,,-0.00123,-0.00664,0.0309,,0.0309
S10,20NO2,1,PO4,uM,-0.00905,-0.161,-0.0792,,-0.0792
S10,20NO2,1,NO3 +NO2,,0.489,13.9,20.9,,20.9
S2,20N/8P,1,PO4,uM,0.252,4.63,7.94,,7.94
S2,20N/8P,1,NO3 +NO2,,0.477,13.5,20.3,,20.3
S9,saline,1,PO4,uM,-0.00567,-0.104,0.0173,,0.0173
S9,saline,1,NO3 +NO2,,-0.00427,-0.115,-0.132,,-0.132
S9,saline,1,PO4,uM,-0.00668,-0.124,-0.0167,,-0.0167
S9,saline,1,NO3 +NO2,,-0.00122,-0.0132,0.021,,0.021
S9,saline,1,PO4,uM,-0.00678,-0.118,-0.00703,,-0.00703
S9,saline,1,NO3 +NO2,,-0.00143,-0.0269,0.000494,,0.000494
S9,saline,1,PO4,uM,-0.00648,-0.112,0.00337,,0.00337
S9,saline,1,NO3 +NO2,,-0.00108,-0.00726,0.03,,0.03
S10,20NO2,1,PO4,uM,-0.00892,-0.158,-0.0746,,-0.0746
S10,20NO2,1,NO3 +NO2,,0.482,13.8,20.8,,20.8
S2,20N/8P,1,PO4,uM,0.254,4.65,7.97,,7.97
S2,20N/8P,1,NO3 +NO2,,0.467,13.5,20.2,,20.2
1,Sample 001,1,PO4,uM,-0.00615,-0.0879,0.0443,,0.0443
1,Sample 001,1,NO3 +NO2,,0.0405,1.12,1.72,,1.72
2,Sample 002,1,PO4,uM,-0.00613,-0.0842,0.0507,,0.0507
2,Sample 002,1,NO3 +NO2,,0.051,1.44,2.2,,2.2
3,Sample 003,1,PO4,uM,-0.00426,-0.069,0.0762,,0.0762
3,Sample 003,1,NO3 +NO2,,0.0509,1.45,2.21,,2.21
4,Sample 004,1,PO4,uM,-0.00389,-0.0637,0.0852,,0.0852
4,Sample 004,1,NO3 +NO2,,0.041,1.14,1.74,,1.74
5,Sample 005,1,PO4,uM,-0.00629,-0.0753,0.0656,,0.0656
5,Sample 005,1,NO3 +NO2,,0.055,1.56,2.38,,2.38
6,Sample 006,1,PO4,uM,-0.00527,-0.0883,0.0437,,0.0437
6,Sample 006,1,NO3 +NO2,,0.0135,0.374,0.601,,0.601
7,Sample 007,1,PO4,uM,-0.00606,-0.0475,0.113,,0.113
7,Sample 007,1,NO3 +NO2,,0.0215,0.6,0.94,,0.94
8,Sample 008,1,PO4,uM,-0.0065,-0.0415,0.123,,0.123
8,Sample 008,1,NO3 +NO2,,0.025,0.721,1.12,,1.12
9,Sample 009,1,PO4,uM,-0.00853,-0.107,0.0117,,0.0117
9,Sample 009,1,NO3 +NO2,,0.0144,0.379,0.609,,0.609
10,Sample 010,1,PO4,uM,-0.00878,-0.106,0.0138,,0.0138
10,Sample 010,1,NO3 +NO2,,0.0279,0.786,1.22,,1.22
11,Sample 011,1,PO4,uM,-0.00779,-0.0945,0.0333,,0.0333
11,Sample 011,1,NO3 +NO2,,0.00861,0.227,0.381,,0.381
12,Sample 012,1,PO4,uM,-0.00585,-0.0992,0.0253,,0.0253
12,Sample 012,1,NO3 +NO2,,0.0149,0.428,0.682,,0.682
13,Sample 013,1,PO4,uM,-0.00913,-0.126,-0.0197,,-0.0197
13,Sample 013,1,NO3 +NO2,,0.0227,0.643,1,,1
14,Sample 014,1,PO4,uM,-0.00739,-0.082,0.0544,,0.0544
14,Sample 014,1,NO3 +NO2,,0.0174,0.465,0.737,,0.737
15,Sample 015,1,PO4,uM,-0.00713,-0.108,0.0104,,0.0104
15,Sample 015,1,NO3 +NO2,,0.00415,0.0905,0.176,,0.176
16,Sample 016,1,PO4,uM,-0.0106,-0.0446,0.117,,0.117
16,Sample 016,1,NO3 +NO2,,0.0149,0.394,0.631,,0.631
17,Sample 017,1,PO4,uM,-0.00864,-0.107,0.0124,,0.0124
17,Sample 017,1,NO3 +NO2,,0.0225,0.636,0.994,,0.994
18,Sample 018,1,PO4,uM,-0.0056,-0.105,0.0161,,0.0161
18,Sample 018,1,NO3 +NO2,,0.029,0.824,1.27,,1.27
19,Sample 019,1,PO4,uM,-0.00649,-0.0575,0.0956,,0.0956
19,Sample 019,1,NO3 +NO2,,0.0211,0.577,0.906,,0.906
20,Sample 020,1,PO4,uM,-0.00931,-0.103,0.0183,,0.0183
20,Sample 020,1,NO3 +NO2,,0.00249,0.0259,0.0797,,0.0797
S4,5N/2P,1,PO4,uM,0.0573,1.05,1.96,,1.96
S4,5N/2P,1,NO3 +NO2,,0.119,3.38,5.11,,5.11
S9,Saline,1,PO4,uM,-0.0065,-0.109,0.00925,,0.00925
S9,Saline,1,NO3 +NO2,,-0.00269,-0.0659,-0.0579,,-0.0579
S10,20NO2,1,PO4,uM,-0.00882,-0.155,-0.0689,,-0.0689
S10,20NO2,1,NO3 +NO2,,0.479,13.6,20.5,,20.5
S2,20N/8P,1,PO4,uM,0.252,4.62,7.93,,7.93
S2,20N/8P,1,NO3 +NO2,,0.474,13.5,20.2,,20.2
21,Sample 021,1,PO4,uM,-0.00539,-0.0999,0.0241,,0.0241
21,Sample 021,1,NO3 +NO2,,-0.00407,-0.0685,-0.0618,,-0.0618
22,Sample 022,1,PO4,uM,-0.00933,-0.109,0.00851,,0.00851
22,Sample 022,1,NO3 +NO2,,0.00341,0.0526,0.12,,0.12
23,Sample 023,1,PO4,uM,-0.00547,-0.107,0.0123,,0.0123
23,Sample 023,1,NO3 +NO2,,0.026,0.739,1.15,,1.15
24,Sample 024,1,PO4,uM,-0.00722,-0.0956,0.0313,,0.0313
24,Sample 024,1,NO3 +NO2,,0.0061,0.143,0.256,,0.256
25,Sample 025,1,PO4,uM,-0.00985,-0.107,0.0114,,0.0114
25,Sample 025,1,NO3 +NO2,,0.00312,0.0557,0.124,,0.124
26,Sample 026,1,PO4,uM,-0.0103,-0.126,-0.0192,,-0.0192
26,Sample 026,1,NO3 +NO2,,0.00396,0.0827,0.165,,0.165
27,Sample 027,1,PO4,uM,-0.00951,-0.109,0.00869,,0.00869
27,Sample 027,1,NO3 +NO2,,0.00391,0.0856,0.169,,0.169
28,Sample 028,1,PO4,uM,-0.00424,-0.0798,0.0581,,0.0581
28,Sample 028,1,NO3 +NO2,,0.00786,0.217,0.366,,0.366
29,Sample 029,1,PO4,uM,-0.00927,-0.107,0.0115,,0.0115
29,Sample 029,1,NO3 +NO2,,0.00637,0.158,0.278,,0.278
30,Sample 030,1,PO4,uM,-0.00961,-0.125,-0.0177,,-0.0177
30,Sample 030,1,NO3 +NO2,,0.00367,0.0865,0.17,,0.17
31,Sample 031,1,PO4,uM,-0.00582,-0.0726,0.0703,,0.0703
31,Sample 031,1,NO3 +NO2,,0.00418,0.111,0.207,,0.207
32,Sample 032,1,PO4,uM,-0.00541,-0.0794,0.0587,,0.0587
32,Sample 032,1,NO3 +NO2,,0.00293,0.0828,0.165,,0.165
33,Sample 033,1,PO4,uM,-0.00931,-0.115,-0.00208,,-0.00208
33,Sample 033,1,NO3 +NO2,,0.0276,0.774,1.2,,1.2
34,Sample 034,1,PO4,uM,-0.00855,-0.091,0.0392,,0.0392
34,Sample 034,1,NO3 +NO2,,0.00568,0.136,0.244,,0.244
35,Sample 035,1,PO4,uM,-0.00851,-0.111,0.00539,,0.00539
35,Sample 035,1,NO3 +NO2,,0.0251,0.707,1.1,,1.1
36,Sample 036,1,PO4,uM,-0.00882,-0.101,0.0218,,0.0218
36,Sample 036,1,NO3 +NO2,,0.00664,0.161,0.282,,0.282
37,Sample 037,1,PO4,uM,-0.00876,-0.0977,0.0279,,0.0279
37,Sample 037,1,NO3 +NO2,,0.0233,0.655,1.02,,1.02
38,Sample 038,1,PO4,uM,-0.00637,-0.0886,0.0432,,0.0432
38,Sample 038,1,NO3 +NO2,,0.0304,0.851,1.32,,1.32
39,Sample 039,1,PO4,uM,-0.00912,-0.11,0.0078,,0.0078
