Plate2,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,
Temperature(°C),1,2,3,4,5,6,7,8,9,10,11,12
19.8,0.071,0.07,0.0862,0.0847,0.0909,0.0968,0.1065,0.1135,0.9533,0.5731,0.1185,0.0782
,0.071,0.0831,0.1127,0.1602,0.2475,0.4937,0.8719,0.0619,0.079,0.078,0.0734,0.0745
,0.0735,0.072,0.0698,0.0795,0.0777,0.0788,0.9702,0.1196,0.0671,0.0678,0.0651,0.0772
,0.0824,0.0795,0.0779,0.0859,0.0837,0.0841,0.5783,0.0804,0.0723,0.0732,0.0725,0.0818
,0.084,0.0822,0.0869,0.079,0.0785,0.0797,0.0737,0.0966,0.0718,0.0794,0.0744,0.0791
,0.0804,0.0857,0.0773,0.077,0.0741,0.0738,0.0741,0.0645,0.0637,0.573,0.1159,0.0715
,0.0714,0.0878,0.1137,0.1599,0.2486,0.5005,0.8835,0.0637,0.0718,0.0736,0.0682,0.0647
,0.0669,0.0691,0.0727,0.0814,0.0845,0.0967,0.1027,0.1098,0.1065,0.1047,0.1016,0.0652
,,,,,,,,,,,,
,,,,,,,,,,,,
Plate1,1.3,PlateFormat,Endpoint,Absorbance,Raw,FALSE,1,,,,,
Temperature(°C),1,2,3,4,5,6,7,8,9,10,11,12
19.7,0.07,0.0698,0.0708,0.0794,0.0855,0.099,0.0997,0.1094,0.8987,0.5264,0.1179,0.0833
,0.0739,0.0816,0.1073,0.1508,0.2327,0.4651,0.8064,0.0635,0.8911,0.524,0.1078,0.0696
,0.1176,0.1034,0.0973,0.0782,0.0759,0.0885,0.8904,0.1181,0.0686,0.0666,0.0687,0.0652
,0.1041,0.0965,0.0961,0.0978,0.0972,0.0973,0.5256,0.0776,0.0741,0.0734,0.0751,0.0719
,0.0721,0.0693,0.0721,0.0781,0.0834,0.0914,0.0985,0.1089,0.8874,0.5214,0.1121,0.0839
,0.0706,0.0808,0.1177,0.1498,0.2341,0.47,0.8105,0.0637,0.8934,0.5211,0.1261,0.0794
,0.0692,0.0721,0.0721,0.0809,0.1521,0.1073,0.1001,0.1208,0.0893,0.0869,0.1147,0.0671
,0.068,0.0696,0.0723,0.0787,0.0857,0.0937,0.0999,0.1094,0.076,0.0735,0.0759,0.0667
