##BLOCKS= 7          																					
Plate:	Plate#1	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	540	1	12	96	1	8	None
	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12								
	19.2	0.0683	0.5169	0.8128	1.5444	1.2539	0.1675	0.0702	0.0603	0.0636	0.0691	0.0619	0.0631								
		0.1076	0.091	0.0905	0.0921	0.0665	0.0684	0.0774	0.0731	0.0752	0.0819	0.0676	0.0731								
		0.0781	0.0764	0.0756	0.0771	0.0747	0.0769	0.0685	0.067	0.0686	0.0751	0.0684	0.0715								
		0.0861	0.0859	0.0729	0.0739	0.0775	0.0811	0.0707	0.0702	0.0693	0.0761	0.0699	0.0709								
		0.0649	0.5017	0.6918	1.5508	1.3605	0.2387	0.0679	0.0643	0.0609	0.0672	0.065	0.0683								
		0.0612	0.4923	0.8198	1.5851	1.3695	0.2239	0.0648	0.4706	0.8758	1.7422	1.6934	0.154								
		0.0649	0.4709	0.9307	1.6241	1.5709	0.3098	0.0983	0.0948	0.0965	0.1039	0.0964	0.1014								
		0.0632	0.4928	0.8885	1.6149	1.4441	0.1656	0.0693	0.0639	0.0665	0.0719	0.0642	0.0639								
																					
~End																					
Plate:	Plate#2	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	540	1	12	96	1	8	None
	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12								
	19.4	0.0655	0.0739	0.1062	0.1667	0.2544	0.5079	0.7986	0.0577	0.063	0.0621	0.0601	0.0626								
		0.0933	0.082	0.1004	0.0911	0.06	0.0612	0.0665	0.0571	0.0586	0.0594	0.0576	0.06								
		0.079	0.0678	0.0726	0.0706	0.0732	0.0779	0.0587	0.0586	0.0587	0.0598	0.058	0.0622								
		0.0764	0.0685	0.0698	0.0719	0.0722	0.0739	0.0658	0.0652	0.0676	0.074	0.0647	0.0684								
		0.0577	0.0772	0.1024	0.1633	0.2491	0.4872	0.7764	0.0536	0.0691	0.0712	0.0554	0.0572								
		0.0565	0.0678	0.0978	0.1523	0.2496	0.4933	0.7777	0.0537	0.0541	0.0735	0.099	0.1566								
		0.0608	0.0722	0.1068	0.1564	0.2501	0.4986	0.8065	0.058	0.094	0.0964	0.0929	0.0968								
		0.0585	0.0702	0.1043	0.1565	0.2451	0.5	0.8024	0.0556	0.2284	0.5107	0.7266	0.0695								
																					
~End																					
Plate:	Plate#3	1.3	PlateFormat	Endpoint	Absorbance	Raw	FALSE	1						1	540	1	12	96	1	8	None
	Temperature(¡C)	1	2	3	4	5	6	7	8	9	10	11	12								
	19.5	0.0671	0.0627	0.0668	0.0688	0.0821	0.0951	0.1021	0.0617	0.0721	0.069	0.0592	0.0681								
